calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-02-17,-0.7,3.3,-3.8,0.0,7.9,,,,4.4,4.0,925.5,68,1017.4,
2016-02-18,-0.3,7.3,-7.0,,10.1,,,,1.8,3.6,933.2,63,1025.7,
2016-02-19,4.0,9.7,-1.9,,9.7,,,,2.6,4.0,935.9,51,1027.2,
2016-02-20,2.7,5.1,0.6,30.0,0.0,,,,1.7,6.0,929.5,81,1020.6,
2016-02-21,4.8,8.1,-0.9,0.0,9.6,,,,4.4,4.7,926.6,54,1016.7,
2016-02-22,2.3,8.7,-2.7,,8.3,,,,3.2,4.4,936.7,62,1028.7,
2016-02-23,5.3,11.4,0.3,,6.1,,,,3.1,5.2,930.7,61,1020.9,
2016-02-24,0.2,4.2,-3.3,,8.2,,,,8.1,3.8,930.8,62,1022.9,
2016-02-25,-0.9,4.3,-5.3,,10.3,,,,3.6,2.5,933.7,47,1026.5,
2016-02-26,-0.1,6.3,-5.1,,8.1,,,,3.3,3.1,933.5,51,1025.9,
2016-02-27,1.5,8.7,-5.4,0.0,7.2,,,,2.6,3.9,934.0,57,1025.9,
2016-02-28,4.9,12.5,-1.4,,10.1,,,,3.4,4.7,933.5,58,1024.1,
2016-02-29,3.1,9.7,-2.4,4.5,0.1,,,,4.0,6.1,921.0,79,1011.1,
2016-03-01,-2.0,1.2,-4.9,0.0,9.9,,,,4.6,2.9,925.8,54,1018.2,
2016-03-02,-0.4,6.7,-6.9,,10.6,,,,2.3,2.9,930.5,52,1022.8,
2016-03-03,4.0,12.6,-3.4,,10.6,,,,3.4,3.8,933.0,49,1023.9,
2016-03-04,5.0,14.7,-3.0,,10.4,,,,1.8,4.6,938.4,57,1029.6,
2016-03-05,6.9,14.2,0.4,,4.1,,,,2.3,6.6,940.3,67,1031.0,
2016-03-06,9.5,16.8,2.9,0.0,5.2,,,,2.8,8.2,936.1,71,1025.4,
2016-03-07,10.4,14.6,8.1,0.0,0.1,,,,1.9,10.1,929.6,80,1017.9,
2016-03-08,11.6,20.3,7.3,,7.0,,,,3.3,8.5,926.4,66,1014.1,
2016-03-09,3.4,8.1,0.0,28.5,0.0,,,,3.7,7.1,925.9,90,1016.3,
2016-03-10,0.2,2.4,-1.3,4.0,2.3,,7,7,7.3,5.3,926.6,86,1018.3,
2016-03-11,0.4,3.3,-1.7,0.0,3.0,,4,,5.9,4.8,926.8,77,1018.4,
2016-03-12,1.3,6.6,-2.1,,6.3,,,,3.6,4.7,930.5,71,1022.1,
2016-03-13,3.1,9.4,-2.9,0.0,5.6,,,,2.2,4.9,932.0,67,1023.2,
2016-03-14,0.9,4.0,-0.2,18.0,0.0,,4,4,4.2,6.0,924.4,92,1015.6,
2016-03-15,0.9,4.4,-1.5,0.0,8.9,,3,,5.5,5.0,926.7,76,1018.1,
2016-03-16,2.9,10.7,-4.2,,9.0,,,,2.1,5.3,932.8,72,1024.2,
2016-03-17,7.6,16.5,-0.8,,11.1,,,,1.6,5.2,932.8,57,1022.5,
2016-03-18,8.6,15.5,1.5,0.5,7.7,,,,2.4,6.7,930.3,63,1019.3,
2016-03-19,10.3,16.6,7.2,5.5,3.4,,,,3.7,10.6,920.5,85,1008.0,
2016-03-20,5.9,9.0,2.6,,9.3,,,,8.5,6.4,923.6,69,1013.0,
2016-03-21,3.6,7.7,-0.1,,7.8,,,,7.6,5.0,927.5,65,1018.1,
2016-03-22,5.6,14.7,-2.5,,11.2,,,,3.2,4.1,926.3,50,1016.0,
2016-03-23,5.6,9.8,0.9,0.0,3.4,,,,5.4,5.7,924.8,63,1014.3,
2016-03-24,2.3,6.7,-1.4,0.0,8.5,,,,7.5,4.9,925.2,70,1016.0,
2016-03-25,1.3,6.6,-3.0,0.0,11.3,,,,5.8,4.0,927.6,62,1019.0,
2016-03-26,3.2,10.5,-2.4,,8.5,,,,3.4,4.1,928.9,56,1019.8,
2016-03-27,6.1,13.4,-0.6,,8.2,,,,2.5,4.7,928.2,54,1018.0,
2016-03-28,6.3,13.0,2.2,0.0,6.0,,,,2.2,6.0,929.3,65,1019.0,
2016-03-29,8.2,15.3,0.9,,9.6,,,,2.8,6.3,932.8,61,1022.3,
2016-03-30,10.5,16.5,3.7,0.0,9.3,,,,4.2,5.8,930.1,47,1018.5,
2016-03-31,10.3,17.2,2.8,,10.4,,,,2.6,4.7,929.4,39,1017.8,
2016-04-01,10.1,17.1,2.4,,6.7,,,,3.5,7.0,930.1,58,1018.6,
2016-04-02,11.9,18.1,7.4,,7.6,,,,5.1,8.7,933.7,64,1022.0,
2016-04-03,12.7,16.5,10.4,0.0,0.4,,,,3.3,10.0,933.3,68,1021.2,
2016-04-04,11.0,16.1,7.5,12.5,0.6,,,,4.3,11.1,921.3,84,1008.6,
2016-04-05,10.0,16.7,5.8,,4.6,,,,4.0,7.7,924.2,66,1012.2,
2016-04-06,10.4,18.1,2.4,,8.2,,,,2.6,6.2,930.3,53,1018.7,
2016-04-07,10.0,16.4,6.9,38.5,0.0,,,,3.2,10.4,923.1,83,1011.0,
2016-04-08,11.0,14.8,5.8,,4.7,,,,4.5,10.0,923.0,76,1010.5,
2016-04-09,11.5,20.5,2.7,,8.8,,,,2.4,6.1,926.6,51,1014.3,
2016-04-10,11.5,17.7,5.6,,2.1,,,,1.8,7.2,923.2,56,1010.6,
2016-04-11,5.0,10.0,0.0,0.0,9.6,,,,7.7,5.9,924.7,67,1014.5,
2016-04-12,6.3,16.2,-1.8,,10.8,,,,3.4,5.5,931.6,59,1021.6,
2016-04-13,9.7,13.5,6.4,5.0,0.2,,,,4.4,9.2,927.7,76,1016.1,
2016-04-14,13.3,19.5,8.8,22.0,8.0,,,,3.4,11.6,919.0,77,1005.3,
2016-04-15,10.5,14.9,4.9,,11.9,,,,5.8,5.6,926.8,47,1014.9,
2016-04-16,11.3,20.5,1.9,,11.3,,,,3.1,7.6,932.1,58,1020.4,
2016-04-17,15.6,20.9,11.8,6.0,4.9,,,,5.1,10.2,921.4,59,1007.1,
2016-04-18,14.1,20.0,8.9,0.0,3.3,,,,4.2,7.9,922.7,51,1009.1,
2016-04-19,11.2,18.8,4.7,,11.7,,,,4.8,5.6,929.0,46,1017.0,
2016-04-20,10.7,19.5,2.7,,10.8,,,,3.5,6.8,934.6,56,1023.3,
2016-04-21,10.9,16.6,7.6,7.0,1.4,,,,3.1,9.8,927.1,75,1015.0,
2016-04-22,15.2,19.2,9.7,1.0,11.1,,,,3.9,13.0,919.3,77,1005.0,
2016-04-23,17.4,23.5,12.9,0.0,7.6,,,,2.6,11.7,923.3,62,1008.7,
2016-04-24,13.9,18.8,10.3,1.5,6.2,,,,4.6,10.2,925.1,66,1011.8,
2016-04-25,15.3,20.7,11.0,,5.0,,,,3.2,9.8,930.3,58,1017.0,
2016-04-26,16.3,24.5,8.4,,11.4,,,,3.1,10.6,929.1,60,1015.4,
2016-04-27,15.0,21.1,11.0,1.0,5.8,,,,3.3,11.2,924.9,66,1011.2,
2016-04-28,11.7,13.6,10.4,26.0,0.0,,,,4.5,12.2,912.9,89,999.2,
2016-04-29,9.4,13.6,3.8,0.5,8.3,,,,6.7,7.2,916.2,61,1003.6,
2016-04-30,10.5,18.4,1.0,,8.6,,,,3.6,6.2,924.9,52,1012.8,
2016-05-01,15.3,20.2,9.8,,4.7,,,,4.0,8.9,927.2,52,1013.6,
2016-05-02,16.6,25.4,9.1,,10.9,,,,2.5,10.7,931.7,60,1018.1,
2016-05-03,16.0,21.1,11.4,0.0,5.6,,,,4.8,11.5,928.5,65,1014.8,
2016-05-04,17.2,20.5,14.7,9.0,8.4,,,,5.4,9.9,918.6,51,1003.6,
2016-05-05,15.9,20.2,11.8,0.0,11.7,,,,5.6,7.2,925.1,40,1011.1,
2016-05-06,13.1,21.6,9.4,2.0,1.8,,,,2.9,10.0,929.4,67,1016.8,
2016-05-07,15.1,23.0,9.9,0.0,5.6,,,,4.4,11.8,923.1,70,1009.2,
2016-05-08,15.2,20.7,8.6,,12.3,,,,3.8,9.0,929.5,54,1016.1,
2016-05-09,14.4,16.8,12.0,6.0,0.0,,,,4.0,12.1,928.7,74,1015.6,
2016-05-10,16.6,20.0,13.0,7.0,0.3,,,,2.4,16.8,921.2,89,1006.6,
2016-05-11,17.9,22.4,13.9,14.5,0.8,,,,4.1,17.0,915.6,82,1000.0,
2016-05-12,17.1,23.5,11.2,,12.0,,,,3.2,11.9,927.2,64,1013.0,
2016-05-13,18.4,26.8,10.8,,12.2,,,,3.1,13.1,931.4,64,1017.1,
2016-05-14,19.0,24.8,14.4,,12.0,,,,4.0,12.7,934.6,60,1020.4,
2016-05-15,18.8,25.5,14.9,,9.1,,,,3.2,13.6,931.8,64,1017.4,
2016-05-16,16.2,21.9,12.6,1.0,3.2,,,,3.7,13.6,926.7,75,1012.8,
2016-05-17,13.4,16.9,8.8,26.5,1.5,,,,5.7,12.9,925.8,84,1012.8,
2016-05-18,15.1,23.5,5.5,,12.9,,,,4.0,9.3,931.2,58,1018.0,
2016-05-19,17.1,24.5,8.8,,10.9,,,,2.6,10.1,932.5,56,1018.9,
2016-05-20,16.5,23.5,11.2,,6.6,,,,2.2,10.1,931.3,56,1017.7,
2016-05-21,17.3,24.9,9.6,,13.1,,,,4.1,9.0,929.9,49,1015.9,
2016-05-22,18.5,26.5,9.5,,13.1,,,,3.2,9.4,930.5,48,1016.1,
2016-05-23,19.8,28.3,11.5,,12.0,,,,2.2,11.9,929.1,55,1014.1,
2016-05-24,20.2,26.7,13.0,,8.9,,,,3.3,12.0,927.7,54,1012.5,
2016-05-25,18.7,21.9,15.6,0.0,0.1,,,,2.2,12.1,928.1,56,1013.4,
2016-05-26,20.4,28.6,13.5,0.0,8.7,,,,3.0,16.9,925.6,72,1010.1,
2016-05-27,17.3,22.5,12.5,0.5,4.0,,,,4.7,14.1,923.5,72,1008.9,
2016-05-28,16.6,21.2,12.0,,1.1,,,,1.5,14.1,922.9,74,1008.5,
2016-05-29,18.9,26.8,12.8,1.0,7.6,,,,4.1,13.1,921.5,64,1006.1,
2016-05-30,15.0,19.5,12.1,12.0,0.8,,,,2.9,13.9,919.9,81,1005.7,
2016-05-31,19.9,26.4,14.2,0.0,10.0,,,,3.4,14.2,918.8,64,1002.9,
2016-06-01,16.9,21.5,10.7,,13.0,,,,6.3,9.8,916.3,52,1001.1,
2016-06-02,13.9,20.0,8.7,,13.2,,,,6.2,8.1,920.3,54,1006.5,
2016-06-03,15.0,24.0,5.8,,13.0,,,,2.7,9.9,925.9,60,1012.3,
2016-06-04,17.2,22.9,11.4,0.0,7.6,,,,3.0,12.3,927.1,64,1012.9,
2016-06-05,17.0,22.3,13.7,1.0,3.5,,,,2.2,13.9,925.5,73,1011.2,
2016-06-06,18.0,26.0,11.0,0.0,10.9,,,,2.9,13.7,928.1,68,1013.7,
2016-06-07,18.0,21.6,15.9,0.0,0.4,,,,2.8,15.2,928.0,74,1013.5,
2016-06-08,19.6,24.5,15.3,0.0,8.5,,,,3.7,15.4,926.7,69,1011.6,
2016-06-09,18.6,22.9,17.1,33.5,0.3,,,,2.7,17.8,925.4,83,1010.5,
2016-06-10,21.1,27.7,15.5,0.0,11.0,,,,4.0,16.3,927.5,67,1011.9,
2016-06-11,22.2,28.1,18.5,,9.2,,,,2.8,16.0,929.2,61,1013.5,
2016-06-12,20.3,26.1,15.1,1.5,6.3,,,,3.1,14.1,925.8,61,1010.3,
2016-06-13,17.5,19.8,15.4,49.0,0.0,,,,4.0,17.8,915.9,89,1000.5,
2016-06-14,20.4,26.7,17.0,13.0,7.2,,,,3.7,18.5,918.0,79,1001.9,
2016-06-15,20.8,26.2,17.8,1.5,5.8,,,,3.3,17.8,923.0,74,1007.2,
2016-06-16,18.1,19.7,16.8,3.0,0.0,,,,4.2,17.2,920.2,83,1005.0,
2016-06-17,21.2,26.6,16.8,0.0,4.3,,,,3.0,17.9,920.3,74,1004.1,
2016-06-18,21.8,28.4,14.9,,11.7,,,,2.6,15.2,928.5,61,1012.8,
2016-06-19,19.9,24.3,17.0,0.5,1.2,,,,2.6,17.5,927.8,76,1012.7,
2016-06-20,22.0,27.7,16.5,0.0,6.5,,,,2.9,17.4,922.9,68,1006.7,
2016-06-21,20.9,26.8,17.2,1.0,5.3,,,,2.2,18.1,922.5,74,1006.6,
2016-06-22,21.8,26.8,19.0,0.0,3.3,,,,2.5,19.7,923.0,76,1006.8,
2016-06-23,20.2,23.2,17.4,23.5,3.0,,,,4.3,20.6,919.1,87,1003.1,
2016-06-24,19.4,24.5,15.9,6.5,0.9,,,,2.7,18.2,920.8,81,1005.2,
2016-06-25,20.5,24.8,16.0,11.0,0.7,,,,4.5,19.4,916.8,80,1000.4,
2016-06-26,18.6,23.6,14.7,,2.0,,,,3.1,14.9,922.3,71,1007.1,
2016-06-27,20.1,27.7,13.1,1.5,9.2,,,,2.6,15.2,927.7,67,1012.5,
2016-06-28,16.9,19.5,13.8,24.5,0.0,,,,2.8,16.7,926.1,87,1011.8,
2016-06-29,19.8,25.9,17.0,2.5,2.4,,,,2.6,19.5,928.1,85,1013.1,
2016-06-30,21.7,26.4,18.3,7.0,2.4,,,,1.8,21.0,927.2,82,1011.4,
2016-07-01,23.8,30.5,18.0,4.0,10.7,,,,2.2,20.9,927.8,73,1011.5,
2016-07-02,24.9,30.2,20.7,0.0,5.4,,,,2.4,21.5,926.8,70,1009.9,
2016-07-03,24.3,27.8,22.2,0.0,2.3,,,,2.9,22.5,925.4,74,1008.6,
2016-07-04,23.1,30.1,20.3,12.0,3.8,,,,2.9,22.8,928.1,81,1011.9,
2016-07-05,23.9,30.5,19.7,3.0,5.6,,,,2.7,22.2,931.5,76,1015.5,
2016-07-06,24.3,29.4,20.1,0.0,8.2,,,,3.4,21.9,931.3,73,1015.0,
2016-07-07,26.6,32.2,21.6,,11.2,,,,2.8,21.2,928.9,63,1011.8,
2016-07-08,23.3,26.5,20.2,0.0,1.6,,,,2.2,21.4,929.0,75,1012.9,
2016-07-09,19.7,22.4,18.4,15.0,0.0,,,,2.3,20.9,923.5,91,1008.1,
2016-07-10,24.0,30.0,19.3,0.0,11.4,,,,2.7,21.0,920.7,72,1003.6,
2016-07-11,24.1,30.4,19.3,,11.7,,,,3.6,20.6,921.4,70,1004.3,
2016-07-12,24.2,30.3,17.8,0.0,10.5,,,,2.8,19.3,921.8,65,1004.7,
2016-07-13,23.1,25.3,21.4,13.5,0.1,,,,2.1,24.1,918.4,85,1001.3,
2016-07-14,23.9,30.7,20.6,0.5,8.1,,,,2.7,21.8,913.9,75,996.2,
2016-07-15,22.6,27.9,19.0,14.0,5.1,,,,2.5,20.8,914.9,77,997.7,
2016-07-16,22.9,27.0,20.3,,3.4,,,,2.2,21.1,921.7,76,1005.0,
2016-07-17,23.7,27.1,20.7,0.0,1.8,,,,2.3,23.9,923.1,82,1006.3,
2016-07-18,24.5,30.6,20.8,0.0,11.2,,,,3.9,22.4,923.4,74,1006.4,
2016-07-19,24.0,29.7,20.0,,11.2,,,,4.7,20.3,925.2,69,1008.5,
2016-07-20,23.8,30.2,19.5,,11.2,,,,3.7,19.6,926.6,68,1010.0,
2016-07-21,23.3,29.8,20.2,18.5,7.7,,,,2.6,20.1,926.4,72,1010.0,
2016-07-22,22.2,26.9,19.5,0.0,6.8,,,,3.6,19.7,926.4,74,1010.4,
2016-07-23,22.6,29.0,18.6,0.0,6.5,,,,2.6,19.4,927.5,72,1011.5,
2016-07-24,23.3,29.0,19.4,0.0,6.5,,,,2.7,19.3,928.7,69,1012.6,
2016-07-25,22.7,27.5,20.2,4.0,4.6,,,,2.2,20.9,928.5,76,1012.6,
2016-07-26,19.5,20.8,18.2,18.5,0.0,,,,2.3,20.3,926.5,90,1011.4,
2016-07-27,22.5,28.5,18.5,19.0,4.7,,,,2.6,21.8,925.3,81,1009.1,
2016-07-28,23.6,28.8,20.5,0.5,3.0,,,,2.7,22.8,927.5,79,1011.1,
2016-07-29,24.4,30.4,21.6,0.0,6.0,,,,2.1,22.5,928.6,74,1012.1,
2016-07-30,24.2,29.6,21.1,1.5,4.3,,,,1.8,22.6,928.7,75,1012.2,
2016-07-31,24.8,31.4,18.4,,11.2,,,,2.8,20.4,927.1,68,1010.4,
2016-08-01,23.8,31.4,20.3,10.0,7.1,,,,2.5,22.9,925.1,79,1008.5,
2016-08-02,22.7,27.6,20.8,26.0,1.8,,,,2.5,22.8,924.2,83,1007.8,
2016-08-03,23.7,29.0,19.5,4.5,7.6,,,,2.1,22.5,924.8,78,1008.1,
2016-08-04,24.6,30.2,21.5,8.5,,,,,,24.7,925.7,80,1008.9,
2016-08-05,25.8,31.1,22.0,1.0,9.3,,,,1.8,25.2,926.6,77,1009.5,
2016-08-06,26.8,32.7,22.7,,8.8,,,,2.2,25.0,925.8,72,1008.2,
2016-08-07,25.9,31.3,21.2,,7.5,,,,2.0,23.2,925.4,71,1008.1,
2016-08-08,25.4,31.9,18.6,,11.9,,,,3.8,20.4,921.1,65,1003.7,
2016-08-09,25.4,32.2,21.1,,10.3,,,,4.7,22.3,920.4,70,1002.8,
2016-08-10,24.4,29.9,21.3,,9.3,,,,4.3,22.0,924.3,73,1007.3,
2016-08-11,24.8,30.0,20.6,,8.7,,,,3.1,21.1,925.1,69,1008.1,
2016-08-12,25.3,31.9,21.7,0.0,8.3,,,,2.5,21.7,924.6,69,1007.4,
2016-08-13,25.4,31.6,22.1,0.0,6.4,,,,2.4,21.4,923.3,67,1006.0,
2016-08-14,25.6,30.9,22.5,1.5,8.4,,,,2.9,22.3,920.4,69,1002.8,
2016-08-15,23.5,27.2,21.7,1.0,2.9,,,,2.7,22.9,919.2,79,1002.2,
2016-08-16,25.5,31.2,21.1,0.0,8.0,,,,3.1,21.6,918.6,68,1000.8,
2016-08-17,24.8,30.9,20.6,,7.1,,,,3.6,23.1,917.4,74,999.7,
2016-08-18,24.9,30.7,22.5,11.0,4.9,,,,3.1,25.1,922.5,81,1005.2,
2016-08-19,24.8,30.3,21.1,0.0,6.0,,,,2.1,23.7,923.7,76,1006.5,
2016-08-20,22.9,28.6,19.2,1.5,3.6,,,,2.1,22.6,922.1,81,1005.5,
2016-08-21,25.3,31.0,19.7,0.0,11.1,,,,3.0,23.1,922.1,73,1004.7,
2016-08-22,23.7,27.5,20.9,0.0,1.7,,,,3.3,22.7,919.1,78,1001.9,
2016-08-23,23.5,29.5,19.5,0.5,5.8,,,,2.7,23.0,921.8,80,1005.0,
2016-08-24,23.4,29.8,21.2,8.5,3.1,,,,2.2,23.4,924.1,82,1007.5,
2016-08-25,24.8,30.2,21.0,0.0,6.4,,,,2.5,22.8,923.9,74,1006.9,
2016-08-26,25.4,31.4,21.8,0.0,6.0,,,,3.0,23.6,921.2,74,1003.7,
2016-08-27,20.4,22.5,18.8,15.5,0.2,,,,5.0,21.6,921.2,90,1005.3,
2016-08-28,22.5,27.9,18.9,0.0,5.9,,,,3.8,21.0,917.8,78,1000.9,
2016-08-29,23.6,27.2,20.1,1.0,1.6,,,,2.5,21.7,910.4,75,992.5,
2016-08-30,19.9,22.6,17.4,35.5,2.7,,,,3.0,19.7,906.1,85,989.1,
2016-08-31,21.2,27.9,14.3,,11.5,,,,2.7,15.3,916.5,63,999.9,
2016-09-01,21.5,27.8,15.3,,11.2,,,,1.7,17.0,924.6,69,1008.7,
2016-09-02,23.8,29.4,19.0,,11.0,,,,2.8,18.9,927.7,66,1011.3,
2016-09-03,24.4,29.2,19.1,0.0,11.3,,,,3.7,20.1,929.4,67,1012.9,
2016-09-04,24.4,29.7,21.5,3.0,6.2,,,,3.6,22.1,930.4,73,1014.0,
2016-09-05,23.5,27.8,20.9,0.0,4.3,,,,3.0,22.3,929.1,78,1012.9,
2016-09-06,23.6,28.2,20.5,1.5,2.4,,,,2.1,23.5,925.5,82,1009.0,
2016-09-07,23.9,29.7,21.3,25.5,6.6,,,,2.3,23.8,921.6,82,1004.7,
2016-09-08,22.0,24.2,20.9,14.0,0.8,,,,3.4,24.1,918.3,91,1001.6,
2016-09-09,21.6,26.0,18.8,,9.4,,,,5.5,19.9,921.6,78,1005.4,
2016-09-10,21.4,27.0,17.8,,8.7,,,,3.8,18.3,927.1,73,1011.4,
2016-09-11,21.7,26.2,18.4,0.0,2.3,,,,2.1,19.8,929.9,77,1014.3,
2016-09-12,21.7,26.6,18.9,0.0,2.9,,,,2.9,19.9,931.8,77,1016.5,
2016-09-13,20.6,22.7,18.8,74.0,0.1,,,,2.1,22.3,930.2,92,1015.0,
2016-09-14,21.8,26.4,19.6,1.0,3.9,,,,3.0,21.9,930.2,84,1014.7,
2016-09-15,21.0,24.4,19.1,0.0,1.4,,,,3.2,19.6,930.1,80,1014.9,
2016-09-16,20.5,23.9,17.8,0.0,0.1,,,,1.7,19.6,930.7,82,1015.7,
2016-09-17,21.1,26.0,18.3,14.0,2.3,,,,2.4,20.0,929.1,80,1013.7,
2016-09-18,20.0,21.4,18.7,63.5,0.0,,,,2.0,22.3,924.0,95,1008.5,
2016-09-19,18.8,21.3,16.4,19.0,0.0,,,,3.2,20.1,923.9,92,1008.8,
2016-09-20,16.8,19.6,15.7,70.0,0.0,,,,3.5,17.9,924.1,93,1009.7,
2016-09-21,17.4,20.3,14.7,2.5,0.0,,,,2.4,17.4,931.3,88,1017.4,
2016-09-22,17.3,18.5,16.5,15.0,0.0,,,,2.0,18.2,931.9,92,1018.1,
2016-09-23,17.8,19.6,16.7,33.5,0.0,,,,2.1,19.2,929.7,94,1015.5,
2016-09-24,18.1,21.4,15.8,1.5,0.8,,,,1.9,18.8,931.9,91,1017.8,
2016-09-25,19.3,26.2,14.3,0.0,5.8,,,,1.5,18.3,933.1,83,1018.7,
2016-09-26,20.7,23.8,18.6,1.0,1.3,,,,1.6,21.6,934.4,88,1019.7,
2016-09-27,22.7,28.9,18.4,0.0,9.2,,,,1.9,21.4,932.6,79,1017.0,
2016-09-28,21.3,22.8,20.3,42.5,0.0,,,,1.5,23.5,928.7,93,1013.1,
2016-09-29,18.9,22.2,14.5,32.5,0.8,,,,5.1,19.9,926.9,90,1012.1,
2016-09-30,18.1,24.7,14.0,0.0,6.2,,,,2.8,16.4,929.9,79,1015.6,
2016-10-01,18.3,21.0,16.0,15.0,0.2,,,,1.7,19.2,931.5,91,1017.3,
2016-10-02,21.3,26.2,18.3,6.5,4.1,,,,1.7,21.8,932.3,87,1017.1,
2016-10-03,20.1,22.2,17.7,3.5,0.0,,,,1.7,21.2,928.7,90,1013.6,
2016-10-04,19.1,23.5,15.8,,3.8,,,,3.2,18.4,929.8,84,1015.1,
2016-10-05,19.9,24.7,14.4,4.5,2.9,,,,4.6,18.1,928.5,79,1013.5,
