calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-17,2.4,6.3,-2.5,4.5,0.6,,,,2.2,,,,,
2016-12-18,7.6,13.7,1.2,0.0,6.0,,,,1.8,,,,,
2016-12-19,6.2,12.5,1.1,0.0,2.4,,,,1.1,,,,,
2016-12-20,7.4,14.9,1.5,0.0,5.7,,,,1.0,,,,,
2016-12-21,6.9,15.6,0.9,0.0,7.5,,,,1.2,,,,,
2016-12-22,10.2,17.3,-0.4,0.5,0.0,,,,3.3,,,,,
2016-12-23,10.6,15.8,4.9,0.5,1.8,,,,3.4,,,,,
2016-12-24,4.0,8.4,-1.6,0.0,7.7,,,,3.1,,,,,
2016-12-25,1.9,8.0,-3.5,0.0,1.5,,,,1.4,,,,,
2016-12-26,1.0,7.5,-4.8,0.0,0.9,,,,0.5,,,,,
2016-12-27,4.5,9.3,0.7,0.0,0.2,,,,1.2,,,,,
2016-12-28,1.9,5.1,-2.6,0.0,0.9,,,,1.7,,,,,
2016-12-29,1.4,10.0,-5.5,0.0,5.0,,,,1.9,,,,,
2016-12-30,2.1,4.7,-1.6,0.0,7.6,,,,3.9,,,,,
2016-12-31,1.9,7.2,-2.5,0.0,0.5,,,,1.1,,,,,
2017-01-01,3.8,9.5,-1.7,0.0,4.5,,,,1.5,,,,,
2017-01-02,5.4,11.9,1.0,0.0,1.0,,,,0.9,,,,,
2017-01-03,5.0,7.8,0.5,0.0,1.6,,,,2.4,,,,,
2017-01-04,2.6,6.3,-1.5,3.5,1.2,,,,1.8,,,,,
2017-01-05,2.3,4.8,-1.3,0.0,4.6,,,,3.3,,,,,
2017-01-06,0.9,5.5,-3.7,0.0,5.5,,,,1.9,,,,,
2017-01-07,2.5,9.0,-5.0,0.0,4.8,,,,1.4,,,,,
2017-01-08,3.0,7.5,-2.8,1.0,4.6,,,,1.8,,,,,
2017-01-09,5.3,8.2,2.6,5.0,0.3,,,,1.6,,,,,
2017-01-10,5.6,10.3,0.7,1.0,8.3,,,,3.3,,,,,
2017-01-11,1.0,3.5,-0.9,0.5,7.1,,,,3.3,,,,,
2017-01-12,0.3,2.5,-1.4,4.0,0.9,,,,1.4,,,,,
2017-01-13,-0.2,2.5,-2.5,0.5,1.0,,,,0.8,,,,,
2017-01-14,-2.8,-0.1,-4.5,0.5,0.1,,,,1.6,,,,,
2017-01-15,-3.8,-1.2,-6.7,4.5,0.8,,,,2.1,,,,,
2017-01-16,-0.1,3.3,-2.9,7.5,1.0,,,,2.0,,,,,
2017-01-17,0.0,6.1,-5.6,0.0,6.3,,,,1.5,,,,,
2017-01-18,-0.2,7.0,-4.9,0.0,4.3,,,,0.8,,,,,
2017-01-19,2.0,5.5,-4.3,0.0,5.8,,,,2.8,,,,,
2017-01-20,-1.4,3.4,-7.4,11.5,3.6,,,,,,,,,
2017-01-21,1.5,6.1,-2.5,1.0,3.6,,,,,,,,,
2017-01-22,0.8,7.2,-5.2,0.0,4.2,,,,1.5,,,,,
2017-01-23,-0.6,1.9,-5.3,4.0,3.0,,,,2.3,,,,,
2017-01-24,-3.5,-1.0,-9.7,7.0,1.0,,,,2.2,,,,,
2017-01-25,-1.0,3.7,-8.7,0.0,7.0,,,,2.2,,,,,
2017-01-26,0.7,6.4,-5.4,0.0,4.0,,,,1.7,,,,,
2017-01-27,1.0,8.9,-6.2,0.0,2.9,,,,1.8,,,,,
2017-01-28,3.1,6.1,-2.2,0.0,5.6,,,,3.2,,,,,
2017-01-29,0.6,6.4,-5.6,0.0,3.3,,,,0.5,,,,,
2017-01-30,4.2,11.7,0.2,0.0,5.4,,,,1.8,,,,,
2017-01-31,1.9,4.2,-0.7,0.0,5.4,,,,3.3,,,,,
2017-02-01,2.0,9.9,-4.2,0.0,6.8,,,,2.5,,,,,
2017-02-02,-1.2,1.6,-3.3,6.5,1.3,,,,3.8,,,,,
2017-02-03,3.2,5.1,0.6,0.0,6.3,,,,5.0,,,,,
2017-02-04,5.5,8.5,-0.1,0.0,4.1,,,,2.7,,,,,
2017-02-05,1.9,6.2,-3.2,0.5,0.5,,,,0.6,,,,,
2017-02-06,5.4,10.3,2.8,0.0,6.6,,,,3.8,,,,,
2017-02-07,1.2,3.9,-1.3,1.0,4.9,,,,5.1,,,,,
2017-02-08,1.6,5.9,-1.9,0.0,4.6,,,,2.4,,,,,
2017-02-09,0.1,2.8,-2.2,2.0,0.0,,,,0.6,,,,,
2017-02-10,2.0,6.0,-0.3,1.5,4.8,,,,2.9,,,,,
2017-02-11,1.3,5.8,-3.0,2.0,8.0,,,,3.5,,,,,
2017-02-12,2.9,6.4,-1.2,0.0,4.0,,,,3.2,,,,,
2017-02-13,3.6,7.3,-1.9,0.0,9.5,,,,3.8,,,,,
2017-02-14,2.6,7.6,-3.9,0.0,8.1,,,,2.7,,,,,
2017-02-15,3.7,8.0,-1.3,0.0,5.1,,,,2.8,,,,,
2017-02-16,4.2,13.8,-2.9,0.0,9.1,,,,1.3,,,,,
2017-02-17,5.6,15.3,-3.9,0.0,5.0,,,,3.5,,,,,
2017-02-18,2.5,6.0,-1.7,0.0,4.8,,,,3.9,,,,,
2017-02-19,0.6,4.8,-4.1,0.0,6.8,,,,3.1,,,,,
2017-02-20,1.5,6.5,-4.5,1.0,0.4,,,,1.7,,,,,
2017-02-21,1.4,3.8,-0.1,0.0,7.1,,,,5.2,,,,,
2017-02-22,4.1,9.3,0.8,0.0,2.7,,,,2.0,,,,,
2017-02-23,6.0,14.8,1.7,2.0,0.6,,,,2.5,,,,,
2017-02-24,2.6,5.6,-0.6,0.0,6.2,,,,4.0,,,,,
2017-02-25,1.3,8.9,-5.9,0.0,8.2,,,,1.7,,,,,
2017-02-26,3.0,9.9,-4.5,0.0,7.7,,,,2.2,,,,,
2017-02-27,2.9,7.6,-2.9,0.0,9.5,,,,3.1,,,,,
2017-02-28,0.0,8.2,-7.7,0.0,10.7,,,,1.3,,,,,
2017-03-01,1.6,10.3,-6.9,0.0,8.3,,,,1.4,,,,,
2017-03-02,4.6,9.9,0.7,0.5,0.1,,,,1.2,,,,,
2017-03-03,5.8,9.8,2.4,0.0,7.3,,,,4.0,,,,,
2017-03-04,5.4,12.8,-2.8,0.0,6.5,,,,2.6,,,,,
2017-03-05,5.0,13.0,-2.7,0.0,6.7,,,,1.7,,,,,
2017-03-06,5.6,13.7,-3.2,0.0,0.7,,,,1.6,,,,,
2017-03-07,2.5,6.4,-2.2,0.0,4.8,,,,3.5,,,,,
2017-03-08,0.5,5.8,-4.6,0.0,4.4,,,,1.9,,,,,
2017-03-09,3.2,9.5,-3.7,0.0,4.8,,,,1.7,,,,,
2017-03-10,3.5,8.5,-2.5,0.0,6.8,,,,2.6,,,,,
2017-03-11,2.9,8.8,-3.6,0.0,9.5,,,,2.9,,,,,
2017-03-12,2.8,11.0,-4.6,0.0,8.3,,,,1.1,,,,,
2017-03-13,4.1,8.8,-2.4,0.0,0.0,,,,1.3,,,,,
2017-03-14,4.5,7.6,0.6,12.5,0.0,,,,1.4,,,,,
2017-03-15,1.9,4.7,-0.3,6.0,0.0,,,,1.4,,,,,
2017-03-16,5.1,9.3,-0.5,0.0,7.9,,,,3.1,,,,,
2017-03-17,4.1,9.3,-0.4,0.5,6.6,,,,2.6,,,,,
2017-03-18,6.6,12.5,0.5,0.0,8.8,,,,2.7,,,,,
2017-03-19,8.0,12.6,2.2,0.0,9.3,,,,3.2,,,,,
2017-03-20,7.8,13.8,1.1,0.0,11.1,,,,3.2,,,,,
2017-03-21,5.0,7.7,1.0,7.0,0.0,,,,1.1,,,,,
2017-03-22,6.6,10.7,2.5,0.0,9.3,,,,3.8,,,,,
2017-03-23,4.8,10.7,-1.0,0.0,8.8,,,,2.8,,,,,
2017-03-24,3.7,8.2,-0.8,0.0,6.2,,,,2.7,,,,,
2017-03-25,5.4,10.8,0.4,0.0,9.2,,,,2.5,,,,,
2017-03-26,5.5,11.1,-0.1,3.0,2.8,,,,1.4,,,,,
2017-03-27,1.7,4.6,0.3,18.5,0.0,,,,0.6,,,,,
2017-03-28,4.7,9.8,0.3,0.0,5.6,,,,1.9,,,,,
2017-03-29,4.8,11.0,-1.1,0.0,7.9,,,,1.5,,,,,
2017-03-30,7.5,17.2,-2.5,0.0,7.5,,,,2.2,,,,,
2017-03-31,7.1,9.8,4.5,0.0,0.0,,,,3.0,,,,,
2017-04-01,4.5,7.3,2.5,0.0,0.1,,,,2.1,,,,,
2017-04-02,5.5,11.2,-1.2,0.0,5.1,,,,1.9,,,,,
2017-04-03,5.3,14.1,-2.7,0.0,6.7,,,,1.4,,,,,
2017-04-04,8.1,16.5,-0.1,0.0,11.2,,,,1.8,,,,,
2017-04-05,10.8,23.1,-1.2,0.0,11.7,,,,1.2,,,,,
2017-04-06,14.6,23.0,5.0,0.0,7.3,,,,3.5,,,,,
2017-04-07,16.4,23.1,9.2,0.5,6.0,,,,2.9,,,,,
2017-04-08,13.1,16.9,10.6,0.0,0.3,,,,1.7,,,,,
2017-04-09,10.9,14.9,5.8,0.0,0.4,,,,3.0,,,,,
2017-04-10,8.5,16.7,0.0,0.0,10.5,,,,1.5,,,,,
2017-04-11,7.7,13.5,-0.4,22.0,0.3,,,,1.7,,,,,
2017-04-12,9.7,12.7,3.4,0.0,4.7,,,,4.1,,,,,
2017-04-13,5.9,12.5,-1.2,0.0,10.6,,,,3.3,,,,,
2017-04-14,10.3,21.7,-3.5,0.0,11.5,,,,1.9,,,,,
2017-04-15,12.5,20.2,4.7,0.0,5.4,,,,2.1,,,,,
2017-04-16,16.2,25.6,2.6,0.0,10.8,,,,3.0,,,,,
2017-04-17,14.0,18.8,9.7,8.0,1.5,,,,3.1,,,,,
2017-04-18,13.9,21.3,9.7,19.0,5.2,,,,3.4,,,,,
2017-04-19,10.8,18.1,4.3,0.0,6.6,,,,6.4,,,,,
2017-04-20,11.8,16.4,8.0,0.0,8.5,,,,3.7,,,,,
2017-04-21,12.4,20.8,8.2,0.0,1.8,,,,1.6,,,,,
2017-04-22,11.2,17.3,5.4,0.0,9.0,,,,3.1,,,,,
2017-04-23,10.0,16.1,3.6,0.0,10.5,,,,3.0,,,,,
2017-04-24,9.7,19.7,0.6,0.0,10.9,,,,1.8,,,,,
2017-04-25,16.0,23.9,6.4,0.0,11.6,,,,3.0,,,,,
2017-04-26,15.3,21.5,12.4,1.0,1.7,,,,2.4,,,,,
2017-04-27,12.4,18.0,4.7,0.0,6.8,,,,3.0,,,,,
2017-04-28,11.1,20.6,0.7,0.0,11.5,,,,1.8,,,,,
2017-04-29,12.9,23.8,2.5,0.0,9.0,,,,1.5,,,,,
2017-04-30,17.1,26.8,3.6,0.0,12.5,,,,2.5,,,,,
2017-05-01,15.6,19.3,8.2,0.0,1.6,,,,2.5,,,,,
2017-05-02,14.1,22.4,5.4,0.0,13.1,,,,2.7,,,,,
2017-05-03,14.9,27.8,2.4,0.0,12.7,,,,1.3,,,,,
2017-05-04,17.1,28.0,7.3,0.0,7.7,,,,1.8,,,,,
2017-05-05,19.6,29.2,11.3,0.0,10.4,,,,2.0,,,,,
2017-05-06,18.1,26.5,10.2,0.0,0.9,,,,1.2,,,,,
2017-05-07,17.0,24.5,7.7,0.0,9.1,,,,3.1,,,,,
2017-05-08,16.6,26.5,4.5,0.0,12.6,,,,4.0,,,,,
2017-05-09,14.3,22.3,5.1,0.0,7.3,,,,1.9,,,,,
2017-05-10,16.4,20.9,11.7,0.0,0.0,,,,2.1,,,,,
2017-05-11,16.5,20.4,10.6,0.5,2.6,,,,1.9,,,,,
2017-05-12,16.4,26.6,9.0,0.0,8.4,,,,2.4,,,,,
2017-05-13,14.4,16.4,12.8,36.0,0.0,,,,3.1,,,,,
2017-05-14,14.3,18.0,12.2,2.5,1.8,,,,2.5,,,,,
2017-05-15,14.1,17.5,12.2,8.5,0.0,,,,1.6,,,,,
2017-05-16,15.9,21.1,9.9,0.0,11.1,,,,2.2,,,,,
2017-05-17,15.9,22.1,9.9,0.0,10.9,,,,1.7,,,,,
2017-05-18,16.8,24.7,9.7,0.0,7.4,,,,1.3,,,,,
2017-05-19,18.7,28.6,8.9,0.0,13.4,,,,1.3,,,,,
2017-05-20,21.1,31.3,9.7,0.0,13.2,,,,1.7,,,,,
2017-05-21,22.3,33.6,12.2,0.0,13.1,,,,1.4,,,,,
2017-05-22,23.5,32.8,15.1,0.0,11.4,,,,1.9,,,,,
2017-05-23,21.6,28.5,16.7,0.0,8.8,,,,2.2,,,,,
2017-05-24,19.9,24.9,16.7,2.5,0.0,,,,1.3,,,,,
2017-05-25,16.9,18.7,15.8,25.5,0.0,,,,1.8,,,,,
2017-05-26,16.7,18.4,15.2,2.0,0.0,,,,2.2,,,,,
2017-05-27,17.3,21.6,14.5,2.5,0.0,,,,1.7,,,,,
2017-05-28,17.1,22.8,11.7,0.0,6.7,,,,2.2,,,,,
2017-05-29,19.5,30.1,7.8,0.0,12.9,,,,1.2,,,,,
2017-05-30,22.9,32.3,13.4,0.0,11.2,,,,1.2,,,,,
2017-05-31,23.8,32.8,17.4,0.0,5.5,,,,1.6,,,,,
