calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-02-06,2.1,10.2,-3.0,0.0,6.3,,,,1.4,,,,,
2016-02-07,1.8,7.1,-3.1,0.0,4.0,,,,1.4,,,,,
2016-02-08,1.4,8.8,-4.8,0.0,5.3,,,,1.3,,,,,
2016-02-09,2.9,9.3,-1.6,0.0,5.1,,,,1.9,,,,,
2016-02-10,2.0,9.8,-3.5,0.0,5.9,,,,1.2,,,,,
2016-02-11,2.9,13.4,-4.0,0.0,8.8,,,,0.8,,,,,
2016-02-12,6.2,14.3,-2.7,0.0,3.3,,,,0.9,,,,,
2016-02-13,10.4,13.1,7.6,14.5,0.0,,,,1.0,,,,,
2016-02-14,11.9,16.0,7.8,8.0,1.1,,,,1.5,,,,,
2016-02-15,3.5,8.3,-2.5,0.0,2.9,,,,2.0,,,,,
2016-02-16,0.7,6.0,-4.0,0.0,5.1,,,,1.4,,,,,
2016-02-17,1.6,6.8,-3.0,0.0,5.3,,,,1.7,,,,,
2016-02-18,1.6,10.3,-5.1,0.0,8.9,,,,1.2,,,,,
2016-02-19,5.3,13.4,-2.6,0.0,4.6,,,,1.1,,,,,
2016-02-20,6.1,7.8,4.5,21.5,0.0,,,,0.9,,,,,
2016-02-21,4.2,9.0,-1.2,0.0,6.1,,,,2.5,,,,,
2016-02-22,3.5,9.9,-2.8,0.0,5.5,,,,1.0,,,,,
2016-02-23,4.8,10.5,1.9,0.0,0.6,,,,0.8,,,,,
2016-02-24,3.5,6.3,0.8,0.0,2.4,,,,2.1,,,,,
2016-02-25,1.6,7.9,-2.8,0.0,5.7,,,,1.4,,,,,
2016-02-26,1.8,9.2,-5.3,0.0,7.0,,,,1.3,,,,,
2016-02-27,4.5,12.4,-2.2,0.0,4.2,,,,1.2,,,,,
2016-02-28,6.0,14.9,-0.4,0.0,5.6,,,,1.2,,,,,
2016-02-29,3.5,8.4,-0.9,0.5,3.6,,,,2.1,,,,,
2016-03-01,0.8,5.9,-3.2,0.0,5.2,,,,1.7,,,,,
2016-03-02,3.3,12.1,-3.1,0.0,8.5,,,,1.3,,,,,
2016-03-03,5.6,16.5,-3.1,0.0,8.9,,,,0.9,,,,,
2016-03-04,7.4,15.2,0.2,0.0,0.8,,,,0.7,,,,,
2016-03-05,12.4,20.0,6.3,0.0,8.8,,,,1.3,,,,,
2016-03-06,12.2,18.5,6.8,0.0,0.0,,,,0.9,,,,,
2016-03-07,15.1,22.7,10.6,0.0,5.1,,,,1.1,,,,,
2016-03-08,12.5,18.8,9.0,0.0,2.1,,,,1.8,,,,,
2016-03-09,6.3,10.8,2.1,37.0,0.0,,,,1.1,,,,,
2016-03-10,5.6,9.7,1.1,0.0,1.2,,,,1.0,,,,,
2016-03-11,4.6,9.5,0.5,0.0,3.3,,,,1.6,,,,,
2016-03-12,3.7,11.3,-2.5,0.0,6.0,,,,1.2,,,,,
2016-03-13,5.0,12.3,-1.3,4.0,3.3,,,,0.9,,,,,
2016-03-14,5.9,10.4,1.7,6.0,1.0,,,,1.6,,,,,
2016-03-15,6.0,12.6,-0.2,0.0,9.2,,,,1.9,,,,,
2016-03-16,5.4,14.6,-1.5,0.0,4.5,,,,1.3,,,,,
2016-03-17,8.8,19.8,-0.8,0.0,9.9,,,,1.2,,,,,
2016-03-18,10.0,14.5,4.3,8.0,0.5,,,,0.8,,,,,
2016-03-19,13.6,19.9,8.3,8.0,4.9,,,,1.9,,,,,
2016-03-20,8.6,15.4,2.7,0.0,10.1,,,,2.2,,,,,
2016-03-21,7.1,14.3,0.2,0.0,9.7,,,,1.8,,,,,
2016-03-22,7.2,18.0,-2.0,0.0,9.1,,,,1.4,,,,,
2016-03-23,9.2,19.2,1.2,0.0,6.9,,,,1.9,,,,,
2016-03-24,6.9,10.7,2.5,0.0,6.1,,,,2.6,,,,,
2016-03-25,5.1,11.6,-0.6,0.0,7.9,,,,2.1,,,,,
2016-03-26,4.7,13.9,-3.0,0.0,10.1,,,,1.3,,,,,
2016-03-27,7.3,15.2,-0.5,0.0,7.5,,,,1.7,,,,,
2016-03-28,7.6,17.2,-0.3,0.0,7.8,,,,1.3,,,,,
2016-03-29,8.8,17.6,-0.5,0.0,6.9,,,,1.5,,,,,
2016-03-30,11.4,20.1,3.4,0.0,6.8,,,,1.5,,,,,
2016-03-31,12.8,20.0,7.5,0.0,2.9,,,,1.3,,,,,
2016-04-01,13.0,16.3,10.8,3.0,0.0,,,,1.0,,,,,
2016-04-02,14.9,21.9,9.3,0.0,5.2,,,,1.6,,,,,
2016-04-03,14.7,18.5,11.0,10.0,0.0,,,,1.0,,,,,
2016-04-04,14.3,18.4,9.7,6.5,1.0,,,,1.8,,,,,
2016-04-05,11.5,17.7,5.1,0.0,4.8,,,,1.1,,,,,
2016-04-06,12.8,21.9,5.2,0.0,7.4,,,,1.5,,,,,
2016-04-07,14.3,20.7,10.1,33.0,0.0,,,,1.3,,,,,
2016-04-08,13.4,20.5,7.8,0.0,5.0,,,,1.3,,,,,
2016-04-09,14.2,23.5,6.9,0.0,8.6,,,,1.5,,,,,
2016-04-10,13.3,21.6,6.7,0.0,1.0,,,,1.0,,,,,
2016-04-11,9.2,13.8,1.4,0.0,7.2,,,,3.1,,,,,
2016-04-12,7.7,16.0,-0.7,0.0,9.0,,,,1.3,,,,,
2016-04-13,13.3,22.9,4.2,19.0,5.7,,,,1.2,,,,,
2016-04-14,17.2,24.0,11.2,0.0,8.4,,,,1.7,,,,,
2016-04-15,13.0,20.8,5.7,0.0,11.2,,,,2.1,,,,,
2016-04-16,13.4,23.1,2.6,0.0,9.6,,,,1.4,,,,,
2016-04-17,17.8,23.9,10.3,10.5,9.0,,,,2.5,,,,,
2016-04-18,12.1,18.1,6.5,0.0,0.0,,,,1.1,,,,,
2016-04-19,11.6,21.1,2.4,0.0,9.4,,,,2.1,,,,,
2016-04-20,12.7,22.1,3.0,0.0,10.6,,,,1.5,,,,,
2016-04-21,13.5,15.1,11.3,32.5,0.0,,,,1.0,,,,,
2016-04-22,17.5,24.6,11.8,0.0,10.1,,,,1.4,,,,,
2016-04-23,16.0,22.7,11.4,0.5,1.8,,,,1.1,,,,,
2016-04-24,15.8,21.7,9.9,0.0,5.9,,,,1.1,,,,,
2016-04-25,14.6,22.6,6.2,0.0,5.0,,,,1.0,,,,,
2016-04-26,17.4,27.1,8.8,0.0,11.0,,,,1.2,,,,,
2016-04-27,15.7,18.6,12.9,26.5,0.0,,,,0.9,,,,,
2016-04-28,13.8,16.4,8.0,24.0,0.0,,,,1.4,,,,,
2016-04-29,11.0,17.1,5.3,0.0,6.7,,,,2.1,,,,,
2016-04-30,12.8,22.9,3.8,0.0,11.3,,,,1.9,,,,,
2016-05-01,16.1,27.1,6.5,0.0,10.0,,,,1.4,,,,,
2016-05-02,17.7,28.2,8.6,0.0,11.9,,,,1.4,,,,,
2016-05-03,16.3,20.2,10.8,16.0,0.0,,,,2.3,,,,,
2016-05-04,16.7,23.9,8.7,0.0,10.7,,,,2.6,,,,,
2016-05-05,16.2,26.0,7.2,0.0,9.8,,,,1.8,,,,,
2016-05-06,13.8,15.1,11.5,4.5,0.0,,,,0.8,,,,,
2016-05-07,16.7,25.0,10.5,0.0,2.4,,,,1.2,,,,,
2016-05-08,15.7,24.6,7.2,0.0,9.1,,,,1.3,,,,,
2016-05-09,14.5,15.9,12.4,26.5,0.0,,,,0.8,,,,,
2016-05-10,17.1,18.6,15.2,6.0,0.0,,,,0.4,,,,,
2016-05-11,16.1,19.8,9.2,1.5,0.3,,,,2.0,,,,,
2016-05-12,15.4,25.7,7.8,0.0,10.8,,,,1.3,,,,,
2016-05-13,17.2,26.4,7.7,0.0,8.0,,,,1.5,,,,,
2016-05-14,18.8,26.7,12.0,0.0,12.1,,,,1.2,,,,,
2016-05-15,19.5,25.9,12.5,0.0,6.6,,,,1.5,,,,,
2016-05-16,17.7,22.9,12.4,27.5,1.5,,,,1.5,,,,,
2016-05-17,16.3,25.7,8.4,0.0,12.3,,,,1.5,,,,,
2016-05-18,17.1,28.9,6.4,0.0,12.4,,,,1.3,,,,,
2016-05-19,18.1,27.6,9.8,0.0,9.9,,,,1.1,,,,,
2016-05-20,19.5,28.6,11.5,0.0,10.9,,,,1.4,,,,,
2016-05-21,19.9,30.5,11.0,0.0,12.6,,,,1.3,,,,,
2016-05-22,18.6,28.3,10.0,0.0,12.6,,,,1.3,,,,,
2016-05-23,20.4,30.6,11.7,0.0,12.1,,,,1.2,,,,,
2016-05-24,19.5,27.5,11.5,0.0,5.1,,,,1.3,,,,,
2016-05-25,19.9,22.9,16.8,3.0,0.0,,,,0.9,,,,,
2016-05-26,22.0,25.2,20.0,1.0,0.0,,,,0.8,,,,,
2016-05-27,21.8,28.4,17.8,2.0,6.8,,,,1.2,,,,,
2016-05-28,18.6,22.5,15.1,0.0,0.8,,,,0.9,,,,,
2016-05-29,18.1,21.0,14.4,22.5,0.1,,,,0.8,,,,,
2016-05-30,21.1,27.2,15.8,0.5,8.0,,,,1.4,,,,,
2016-05-31,21.3,29.4,14.8,0.0,9.2,,,,1.6,,,,,
2016-06-01,18.6,24.8,12.6,0.0,9.7,,,,2.4,,,,,
2016-06-02,17.0,24.8,9.4,0.0,12.0,,,,1.9,,,,,
2016-06-03,17.4,26.6,8.1,0.0,12.7,,,,1.6,,,,,
2016-06-04,17.2,22.8,11.5,6.5,0.6,,,,1.0,,,,,
2016-06-05,18.4,22.9,15.8,21.5,0.1,,,,1.0,,,,,
2016-06-06,20.5,27.2,15.0,0.0,5.1,,,,1.4,,,,,
2016-06-07,18.7,21.1,17.6,24.0,0.2,,,,0.7,,,,,
2016-06-08,21.1,26.3,17.8,0.0,0.8,,,,0.8,,,,,
2016-06-09,20.6,26.3,17.6,15.0,1.8,,,,1.0,,,,,
2016-06-10,22.4,30.5,16.5,0.0,11.5,,,,1.3,,,,,
2016-06-11,22.7,28.6,17.6,0.0,1.8,,,,1.4,,,,,
2016-06-12,21.6,25.0,19.6,56.5,0.0,,,,1.1,,,,,
2016-06-13,21.7,26.4,17.6,3.5,0.7,,,,1.3,,,,,
2016-06-14,22.6,29.8,16.0,0.0,10.0,,,,1.2,,,,,
2016-06-15,23.0,28.5,17.6,0.0,3.4,,,,1.3,,,,,
2016-06-16,22.0,24.0,20.7,10.0,0.0,,,,0.9,,,,,
2016-06-17,22.9,28.4,18.1,0.0,4.6,,,,1.4,,,,,
2016-06-18,23.2,31.1,16.9,0.0,10.8,,,,1.4,,,,,
2016-06-19,20.0,21.2,18.8,32.0,0.0,,,,0.8,,,,,
2016-06-20,23.6,29.5,20.1,2.0,4.1,,,,1.4,,,,,
2016-06-21,24.5,29.4,20.8,18.0,5.2,,,,1.3,,,,,
2016-06-22,22.6,25.1,21.1,32.0,0.0,,,,0.7,,,,,
2016-06-23,23.8,29.1,18.5,20.0,8.9,,,,1.7,,,,,
2016-06-24,19.9,21.9,17.6,42.0,0.0,,,,0.8,,,,,
2016-06-25,21.2,24.4,17.4,0.5,0.0,,,,1.3,,,,,
2016-06-26,21.3,27.4,15.3,0.0,8.2,,,,1.6,,,,,
2016-06-27,21.1,27.2,17.9,17.5,3.2,,,,1.2,,,,,
2016-06-28,21.4,25.6,17.8,4.5,0.6,,,,0.9,,,,,
2016-06-29,20.9,22.0,19.8,21.5,0.0,,,,0.3,,,,,
2016-06-30,23.5,27.0,21.0,0.0,0.5,,,,1.0,,,,,
2016-07-01,25.3,31.1,21.2,0.0,7.0,,,,1.3,,,,,
2016-07-02,26.8,33.2,21.5,0.0,6.6,,,,1.6,,,,,
2016-07-03,26.4,32.9,22.3,0.0,2.5,,,,1.1,,,,,
2016-07-04,27.0,33.3,23.8,3.5,5.2,,,,1.5,,,,,
2016-07-05,27.6,33.9,23.4,0.0,6.4,,,,1.3,,,,,
2016-07-06,27.9,34.2,24.1,0.0,8.6,,,,1.5,,,,,
2016-07-07,27.1,34.1,22.7,0.0,8.0,,,,1.3,,,,,
2016-07-08,22.3,23.8,20.4,55.0,0.0,,,,0.8,,,,,
2016-07-09,24.4,29.8,21.1,32.0,2.2,,,,1.1,,,,,
2016-07-10,26.6,31.7,23.0,0.0,7.7,,,,1.1,,,,,
2016-07-11,26.1,31.5,22.7,15.0,1.9,,,,1.2,,,,,
2016-07-12,26.0,30.6,23.5,8.5,0.3,,,,0.8,,,,,
2016-07-13,25.3,28.5,23.7,19.0,0.7,,,,1.3,,,,,
2016-07-14,26.2,32.4,22.9,0.0,6.0,,,,1.2,,,,,
2016-07-15,22.5,26.7,18.9,0.0,2.3,,,,1.5,,,,,
2016-07-16,23.4,28.6,18.4,0.0,4.5,,,,1.0,,,,,
2016-07-17,26.1,31.4,22.7,3.5,6.3,,,,1.5,,,,,
2016-07-18,26.0,33.4,20.9,0.0,8.1,,,,1.2,,,,,
2016-07-19,25.4,32.4,20.3,0.0,8.9,,,,1.3,,,,,
2016-07-20,25.5,33.2,19.4,0.0,11.6,,,,1.3,,,,,
2016-07-21,25.2,31.7,20.2,0.0,8.0,,,,1.3,,,,,
2016-07-22,25.4,32.5,19.5,0.0,8.9,,,,1.1,,,,,
2016-07-23,25.7,32.5,20.4,0.0,9.5,,,,1.5,,,,,
2016-07-24,25.2,30.5,21.5,0.0,2.3,,,,1.3,,,,,
2016-07-25,24.5,28.2,22.4,0.5,0.0,,,,0.8,,,,,
2016-07-26,25.3,30.1,23.2,5.0,0.5,,,,1.1,,,,,
2016-07-27,26.8,32.9,23.4,0.0,7.8,,,,1.4,,,,,
2016-07-28,27.0,32.6,22.8,0.0,7.4,,,,1.4,,,,,
2016-07-29,26.3,32.0,22.3,0.0,5.9,,,,1.4,,,,,
2016-07-30,26.8,33.6,21.7,0.0,7.4,,,,1.4,,,,,
2016-07-31,26.6,33.6,22.8,0.0,7.3,,,,1.2,,,,,
2016-08-01,27.8,35.0,23.5,0.0,8.3,,,,1.1,,,,,
2016-08-02,26.5,33.0,21.7,0.0,8.1,,,,1.2,,,,,
2016-08-03,26.7,34.0,21.8,0.0,9.3,,,,1.2,,,,,
2016-08-04,26.8,34.5,22.4,12.5,9.1,,,,1.2,,,,,
2016-08-05,27.8,34.6,22.3,0.0,11.9,,,,1.3,,,,,
2016-08-06,27.8,35.5,23.4,0.0,10.6,,,,1.5,,,,,
2016-08-07,26.8,34.5,21.3,0.0,9.8,,,,1.5,,,,,
2016-08-08,27.3,36.7,19.4,0.0,10.8,,,,1.5,,,,,
2016-08-09,27.1,33.8,21.7,0.0,8.4,,,,1.6,,,,,
2016-08-10,25.8,33.2,19.7,0.0,10.9,,,,1.2,,,,,
2016-08-11,25.6,35.0,18.2,0.0,11.9,,,,1.1,,,,,
2016-08-12,26.8,35.3,19.6,0.0,11.8,,,,1.3,,,,,
2016-08-13,28.0,34.9,22.8,0.0,8.5,,,,1.4,,,,,
2016-08-14,27.3,35.0,22.8,14.0,6.6,,,,1.2,,,,,
2016-08-15,26.8,32.9,24.2,29.0,3.7,,,,1.1,,,,,
2016-08-16,26.9,32.3,24.1,0.0,3.2,,,,1.2,,,,,
2016-08-17,26.1,31.0,21.9,0.0,2.7,,,,1.3,,,,,
2016-08-18,26.6,35.0,20.3,0.0,11.0,,,,1.2,,,,,
2016-08-19,27.9,35.2,22.1,0.0,10.0,,,,1.2,,,,,
2016-08-20,27.8,34.1,22.6,0.0,11.1,,,,1.7,,,,,
2016-08-21,28.3,35.3,22.6,0.0,10.7,,,,1.2,,,,,
2016-08-22,27.5,34.2,23.2,0.0,6.4,,,,1.8,,,,,
2016-08-23,26.4,33.6,21.2,0.0,10.6,,,,1.7,,,,,
2016-08-24,25.9,33.5,19.6,0.0,4.1,,,,1.0,,,,,
2016-08-25,27.0,33.5,23.0,1.5,5.9,,,,1.4,,,,,
2016-08-26,25.8,32.2,22.9,20.5,5.4,,,,1.2,,,,,
2016-08-27,23.6,27.3,19.7,0.0,0.1,,,,1.8,,,,,
2016-08-28,23.1,28.7,18.6,0.0,0.9,,,,1.1,,,,,
2016-08-29,22.9,27.7,18.9,88.0,1.8,,,,0.9,,,,,
2016-08-30,21.3,26.9,16.6,0.0,3.9,,,,1.6,,,,,
2016-08-31,23.9,28.9,16.5,0.0,9.9,,,,2.8,,,,,
2016-09-01,21.7,28.5,15.0,0.0,6.8,,,,1.2,,,,,
2016-09-02,23.3,30.4,18.1,0.0,7.6,,,,1.4,,,,,
2016-09-03,24.6,31.4,19.4,0.0,4.1,,,,1.3,,,,,
2016-09-04,26.0,31.0,21.9,0.0,3.5,,,,1.7,,,,,
2016-09-05,24.6,26.5,23.1,7.0,0.0,,,,0.7,,,,,
2016-09-06,26.3,32.7,22.8,0.0,6.8,,,,1.1,,,,,
2016-09-07,26.2,31.7,22.6,0.0,2.3,,,,1.0,,,,,
2016-09-08,23.7,28.0,18.9,6.0,2.9,,,,1.5,,,,,
2016-09-09,22.5,29.3,18.1,0.0,9.1,,,,1.2,,,,,
2016-09-10,22.5,29.7,16.7,0.0,7.8,,,,1.2,,,,,
2016-09-11,24.0,31.0,19.7,0.0,9.0,,,,1.0,,,,,
2016-09-12,23.0,26.5,20.6,14.5,0.0,,,,1.0,,,,,
2016-09-13,22.8,28.2,20.0,26.5,1.1,,,,1.3,,,,,
2016-09-14,23.3,28.2,20.3,0.0,1.0,,,,0.9,,,,,
2016-09-15,23.0,27.1,20.5,0.0,1.5,,,,0.9,,,,,
2016-09-16,23.4,29.3,20.1,0.0,3.2,,,,0.9,,,,,
2016-09-17,24.7,29.7,21.3,5.0,1.6,,,,1.2,,,,,
2016-09-18,23.0,24.3,21.9,58.5,0.0,,,,0.7,,,,,
2016-09-19,21.4,25.9,18.1,15.0,0.0,,,,1.2,,,,,
2016-09-20,19.3,23.2,17.3,51.0,0.9,,,,1.9,,,,,
2016-09-21,19.9,24.2,15.8,0.0,0.1,,,,1.0,,,,,
2016-09-22,19.6,21.5,18.7,16.5,0.0,,,,0.8,,,,,
2016-09-23,20.3,25.7,17.0,0.5,2.5,,,,0.8,,,,,
2016-09-24,21.4,28.4,16.3,0.0,9.4,,,,1.2,,,,,
2016-09-25,22.4,26.4,20.6,34.5,0.2,,,,0.9,,,,,
2016-09-26,22.6,24.9,21.2,33.0,0.0,,,,0.7,,,,,
2016-09-27,24.3,29.8,20.6,1.5,3.4,,,,1.1,,,,,
2016-09-28,25.1,30.6,23.1,26.0,1.0,,,,0.6,,,,,
2016-09-29,20.7,23.7,17.1,10.0,0.0,,,,1.0,,,,,
2016-09-30,18.8,23.8,15.7,10.0,0.5,,,,0.7,,,,,
2016-10-01,21.1,23.9,18.7,3.5,0.1,,,,0.7,,,,,
2016-10-02,24.3,30.2,20.8,0.0,4.6,,,,0.7,,,,,
2016-10-03,23.5,27.9,20.3,0.0,0.1,,,,0.9,,,,,
2016-10-04,22.2,27.5,19.2,0.0,0.3,,,,0.9,,,,,
2016-10-05,21.7,27.8,18.3,1.0,0.3,,,,1.7,,,,,
2016-10-06,19.6,26.0,13.8,0.0,5.0,,,,1.4,,,,,
2016-10-07,17.8,25.3,12.2,0.0,7.2,,,,1.0,,,,,
2016-10-08,21.7,28.9,16.5,4.0,0.9,,,,0.9,,,,,
2016-10-09,18.3,22.7,12.3,19.0,4.0,,,,1.9,,,,,
2016-10-10,15.5,21.7,11.1,0.0,9.2,,,,1.8,,,,,
2016-10-11,14.0,18.2,11.0,0.0,0.3,,,,0.9,,,,,
2016-10-12,15.1,23.5,10.0,0.0,6.9,,,,1.2,,,,,
2016-10-13,13.9,20.8,10.3,0.0,2.9,,,,1.0,,,,,
2016-10-14,13.2,22.8,8.2,0.0,6.6,,,,0.8,,,,,
2016-10-15,13.8,23.9,6.9,0.0,9.4,,,,1.0,,,,,
2016-10-16,16.0,23.3,10.5,10.5,0.2,,,,1.1,,,,,
2016-10-17,19.0,24.0,16.4,31.0,1.3,,,,1.0,,,,,
2016-10-18,20.7,27.5,16.9,0.0,5.7,,,,1.1,,,,,
2016-10-19,19.1,25.5,15.1,0.0,3.6,,,,1.0,,,,,
2016-10-20,18.7,25.4,14.8,0.0,6.4,,,,1.4,,,,,
2016-10-21,15.1,19.8,11.1,0.0,0.6,,,,1.1,,,,,
2016-10-22,13.4,17.0,10.2,0.0,0.0,,,,0.9,,,,,
2016-10-23,15.3,20.1,12.1,0.0,0.2,,,,1.5,,,,,
2016-10-24,12.8,20.9,7.5,0.0,9.1,,,,1.2,,,,,
2016-10-25,13.6,21.2,6.4,0.0,2.9,,,,1.2,,,,,
2016-10-26,18.0,22.8,15.3,1.0,0.0,,,,0.9,,,,,
2016-10-27,15.0,21.2,10.7,0.0,7.3,,,,1.6,,,,,
2016-10-28,13.3,15.7,11.5,3.5,0.0,,,,1.0,,,,,
2016-10-29,13.7,18.3,7.0,0.0,6.2,,,,2.2,,,,,
2016-10-30,10.9,18.5,6.1,0.0,6.6,,,,1.0,,,,,
2016-10-31,12.1,17.7,6.7,2.0,1.2,,,,1.0,,,,,
2016-11-01,12.4,17.0,6.9,1.0,5.1,,,,1.5,,,,,
2016-11-02,9.8,15.2,6.2,0.0,3.3,,,,0.9,,,,,
2016-11-03,8.7,16.6,3.9,0.0,5.9,,,,1.2,,,,,
2016-11-04,8.4,17.6,2.9,0.0,5.2,,,,0.8,,,,,
2016-11-05,10.3,19.3,5.3,0.0,6.3,,,,1.5,,,,,
2016-11-06,9.3,15.2,3.3,0.0,1.0,,,,1.5,,,,,
2016-11-07,8.6,17.4,2.3,0.0,7.0,,,,0.9,,,,,
2016-11-08,11.6,16.0,8.1,0.5,0.0,,,,0.7,,,,,
2016-11-09,7.3,12.3,2.7,0.0,5.0,,,,2.0,,,,,
2016-11-10,6.8,11.1,2.3,0.5,0.8,,,,0.8,,,,,
2016-11-11,10.0,18.8,6.0,1.5,4.3,,,,1.1,,,,,
2016-11-12,9.3,18.7,3.4,0.0,7.8,,,,0.8,,,,,
2016-11-13,11.5,18.9,5.2,0.0,6.1,,,,0.9,,,,,
2016-11-14,12.6,15.0,10.2,6.5,0.1,,,,0.6,,,,,
2016-11-15,13.6,19.8,6.7,0.0,1.4,,,,1.3,,,,,
2016-11-16,9.4,15.1,5.3,0.0,5.3,,,,0.9,,,,,
2016-11-17,9.3,17.6,4.0,0.0,5.7,,,,1.1,,,,,
2016-11-18,9.6,16.0,4.5,4.5,2.6,,,,1.4,,,,,
2016-11-19,14.4,19.9,11.2,14.0,1.4,,,,0.9,,,,,
2016-11-20,14.7,20.5,10.3,2.5,0.5,,,,1.0,,,,,
2016-11-21,12.2,16.2,8.8,0.5,0.0,,,,0.8,,,,,
2016-11-22,14.1,20.0,9.3,0.0,6.7,,,,1.1,,,,,
2016-11-23,9.8,14.0,6.6,0.0,0.8,,,,2.2,,,,,
2016-11-24,7.5,13.6,2.3,0.0,5.6,,,,1.5,,,,,
2016-11-25,6.2,14.9,1.1,0.0,7.3,,,,1.1,,,,,
2016-11-26,7.1,14.0,-0.1,4.5,6.2,,,,1.0,,,,,
2016-11-27,9.5,10.6,8.2,15.0,0.0,,,,0.6,,,,,
2016-11-28,8.3,12.0,5.4,0.0,1.8,,,,1.2,,,,,
2016-11-29,8.0,13.5,4.0,0.0,4.0,,,,1.5,,,,,
2016-11-30,6.4,11.3,1.9,0.0,2.9,,,,0.9,,,,,
2016-12-01,9.6,15.6,5.1,1.0,1.1,,,,0.8,,,,,
2016-12-02,8.1,15.0,2.7,0.0,7.7,,,,0.9,,,,,
2016-12-03,6.6,16.3,0.9,0.0,6.4,,,,0.9,,,,,
2016-12-04,7.1,10.7,2.3,18.0,1.0,,,,0.8,,,,,
2016-12-05,9.9,16.8,7.1,0.0,3.7,,,,0.9,,,,,
2016-12-06,7.2,12.3,2.0,0.0,6.1,,,,1.7,,,,,
2016-12-07,5.1,12.0,1.1,0.0,3.1,,,,1.4,,,,,
2016-12-08,5.8,12.6,2.0,0.0,5.3,,,,0.9,,,,,
2016-12-09,7.3,15.8,2.0,0.0,6.5,,,,1.1,,,,,
2016-12-10,4.7,10.4,0.2,0.5,4.5,,,,1.1,,,,,
2016-12-11,4.4,10.7,-0.5,0.0,4.5,,,,1.4,,,,,
2016-12-12,4.0,8.7,-0.7,0.5,2.0,,,,1.1,,,,,
2016-12-13,7.5,9.9,5.1,21.5,0.0,,,,0.8,,,,,
2016-12-14,5.9,9.0,-0.6,0.0,2.4,,,,1.8,,,,,
2016-12-15,3.2,8.1,-0.8,0.0,2.9,,,,0.8,,,,,
2016-12-16,2.0,6.6,-2.1,0.0,3.9,,,,1.4,,,,,
