calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-27,1.5,3.7,-0.8,5.0,,,31,7,2.5,,,,,
2016-01-28,-0.8,3.1,-6.3,0.0,,,27,2,1.8,,,,,
2016-01-29,-2.7,1.3,-7.0,0.0,3.6,,25,3,0.8,,,,,
2016-01-30,-1.2,2.2,-3.5,0.0,6.5,,24,3,1.6,,,,,
2016-01-31,-1.6,0.2,-2.6,0.0,0.9,,24,4,2.7,,,,,
2016-02-01,-3.3,-1.4,-4.3,1.0,0.6,,34,15,1.6,,,,,
2016-02-02,-2.7,0.3,-5.1,0.5,1.0,,36,5,1.6,,,,,
2016-02-03,-1.5,2.1,-3.5,0.0,1.8,,30,3,1.5,,,,,
2016-02-04,-0.7,3.0,-4.2,3.0,0.8,,29,8,1.0,,,,,
2016-02-05,0.8,3.3,-1.5,0.0,1.5,,29,4,2.4,,,,,
2016-02-06,-1.9,1.7,-5.7,0.0,2.5,,27,3,1.8,,,,,
2016-02-07,-3.9,-0.2,-9.1,1.0,5.0,,30,10,1.9,,,,,
2016-02-08,-1.2,2.1,-4.2,1.5,0.5,,32,5,1.2,,,,,
2016-02-09,-0.5,2.0,-3.5,6.0,1.7,,33,11,1.4,,,,,
2016-02-10,-1.4,0.3,-2.7,0.0,1.5,,33,6,2.7,,,,,
2016-02-11,-1.1,4.3,-5.8,0.0,8.2,,33,1,1.2,,,,,
2016-02-12,-1.7,7.4,-9.0,0.0,7.7,,29,0,0.5,,,,,
2016-02-13,1.5,3.2,-1.4,20.5,0.0,,28,1,0.6,,,,,
2016-02-14,4.4,11.3,1.7,23.5,0.0,,25,5,3.0,,,,,
2016-02-15,-2.2,1.8,-5.3,2.0,2.5,,19,8,3.6,,,,,
2016-02-16,-2.4,-0.8,-4.8,8.5,0.3,,37,20,2.2,,,,,
2016-02-17,-1.7,0.1,-2.9,5.0,0.5,,41,6,2.5,,,,,
2016-02-18,1.1,3.8,-2.6,26.5,,,38,6,1.7,,,,,
2016-02-19,2.2,5.8,0.1,24.5,,,28,9,1.8,,,,,
2016-02-20,2.1,4.8,-1.4,7.0,,,21,0,1.5,,,,,
2016-02-21,1.9,6.2,-1.0,4.0,,,17,2,3.3,,,,,
2016-02-22,-0.6,2.3,-4.0,0.0,,,12,2,2.2,,,,,
2016-02-23,-0.8,2.1,-4.1,6.5,,,16,9,0.9,,,,,
2016-02-24,-2.9,0.9,-4.5,0.5,,,16,3,2.5,,,,,
2016-02-25,-3.0,0.9,-5.1,1.0,2.7,,18,11,1.6,,,,,
2016-02-26,-2.1,0.6,-4.2,2.5,2.2,,23,7,1.3,,,,,
2016-02-27,-1.9,2.4,-6.4,2.5,6.5,,22,13,1.5,,,,,
2016-02-28,-0.2,4.6,-6.5,0.0,10.2,,22,0,1.2,,,,,
2016-02-29,3.0,6.5,0.4,15.0,0.0,,16,2,3.4,,,,,
2016-03-01,-1.9,0.4,-3.4,2.0,2.5,,19,10,3.9,,,,,
2016-03-02,-1.9,2.1,-5.8,3.5,2.3,,23,7,2.2,,,,,
2016-03-03,-0.5,6.2,-6.8,4.0,4.1,,27,7,1.9,,,,,
2016-03-04,-0.2,6.5,-5.1,0.0,9.8,,17,0,1.0,,,,,
2016-03-05,2.0,9.1,-5.5,0.0,10.3,,16,1,1.8,,,,,
2016-03-06,3.8,7.3,0.4,18.5,0.0,,13,0,0.8,,,,,
2016-03-07,6.1,10.6,0.2,7.5,7.5,,8,0,1.6,,,,,
2016-03-08,4.3,11.3,-0.2,0.5,1.7,,0,0,2.6,,,,,
2016-03-09,1.8,4.8,-1.9,0.0,5.4,,0,0,2.5,,,,,
2016-03-10,-0.3,4.5,-4.0,0.0,7.5,,0,0,1.5,,,,,
2016-03-11,0.1,3.6,-3.3,1.0,7.6,,0,0,2.1,,,,,
2016-03-12,-0.4,4.8,-4.2,0.0,4.4,,0,0,1.4,,,,,
2016-03-13,0.7,7.6,-6.2,0.0,5.1,,0,0,1.1,,,,,
2016-03-14,3.1,10.5,-0.7,1.0,5.4,,0,0,1.2,,,,,
2016-03-15,3.0,6.7,-1.6,0.0,5.8,,0,0,2.2,,,,,
2016-03-16,7.1,10.4,2.1,0.0,4.2,,0,0,3.0,,,,,
2016-03-17,8.9,14.6,1.2,0.0,6.4,,0,0,2.6,,,,,
2016-03-18,8.7,18.9,-0.8,3.5,4.6,,0,0,1.6,,,,,
2016-03-19,8.2,10.8,3.4,12.5,0.0,,0,0,1.3,,,,,
2016-03-20,4.8,9.3,0.7,0.0,0.9,,0,0,1.4,,,,,
2016-03-21,1.9,6.8,-1.8,0.5,4.8,,0,0,1.8,,,,,
2016-03-22,2.6,7.7,-0.1,15.0,0.0,,0,0,1.3,,,,,
2016-03-23,2.9,7.0,-0.2,0.5,5.3,,0,0,2.1,,,,,
2016-03-24,1.5,5.1,-1.5,1.0,3.5,,0,0,1.3,,,,,
2016-03-25,1.5,5.7,-2.3,2.5,3.6,,0,0,1.4,,,,,
2016-03-26,3.1,9.2,-1.7,0.0,7.6,,0,0,1.5,,,,,
2016-03-27,3.7,11.7,-3.0,0.0,10.4,,0,0,1.5,,,,,
2016-03-28,4.8,11.7,-0.9,0.0,4.5,,0,0,1.5,,,,,
2016-03-29,6.1,15.0,-1.5,0.0,7.8,,0,0,1.1,,,,,
2016-03-30,5.4,15.4,-0.4,14.0,2.2,,0,0,1.4,,,,,
2016-03-31,6.4,11.5,1.4,0.0,11.2,,0,0,2.2,,,,,
2016-04-01,6.2,12.8,-1.1,0.0,12.0,,0,0,3.3,,,,,
2016-04-02,9.7,17.1,3.9,0.0,11.4,,0,0,2.4,,,,,
2016-04-03,7.3,9.7,5.9,27.5,0.0,,0,0,1.2,,,,,
2016-04-04,4.6,9.8,0.4,14.5,3.8,,0,0,1.6,,,,,
2016-04-05,6.5,13.6,-0.4,0.0,9.1,,0,0,2.2,,,,,
2016-04-06,7.4,12.4,0.3,0.5,12.4,,0,0,2.7,,,,,
2016-04-07,6.2,12.2,-0.3,13.5,0.0,,0,0,1.4,,,,,
2016-04-08,8.7,12.6,2.4,5.0,1.5,,0,0,2.2,,,,,
2016-04-09,7.1,14.3,1.5,0.0,1.9,,0,0,2.3,,,,,
2016-04-10,6.6,13.6,0.5,0.0,5.4,,0,0,2.0,,,,,
2016-04-11,2.0,6.1,-0.8,4.0,3.8,,0,0,2.0,,,,,
2016-04-12,4.1,10.6,-2.6,0.0,9.6,,0,0,1.5,,,,,
2016-04-13,9.6,20.2,0.7,16.0,4.5,,0,0,1.5,,,,,
2016-04-14,12.7,18.5,9.8,7.5,1.4,,0,0,1.6,,,,,
2016-04-15,7.0,10.7,3.2,1.0,2.8,,0,0,3.8,,,,,
2016-04-16,7.9,14.9,0.7,0.0,4.3,,0,0,1.1,,,,,
2016-04-17,10.7,15.4,5.0,9.0,0.3,,0,0,3.8,,,,,
2016-04-18,11.1,12.4,8.8,0.0,0.0,,0,0,4.4,,,,,
2016-04-19,8.3,11.2,6.7,0.5,3.4,,0,0,2.8,,,,,
2016-04-20,9.6,15.2,3.4,1.0,2.9,,0,0,2.0,,,,,
2016-04-21,11.5,18.2,3.2,0.0,1.8,,0,0,1.5,,,,,
2016-04-22,15.1,20.2,10.4,0.5,7.0,,0,0,2.2,,,,,
2016-04-23,12.2,20.7,7.3,0.0,3.2,,0,0,2.2,,,,,
2016-04-24,11.0,16.8,4.5,0.0,10.1,,0,0,2.1,,,,,
2016-04-25,9.9,19.4,1.2,0.0,12.5,,0,0,1.4,,,,,
2016-04-26,10.0,18.5,1.9,0.0,7.1,,0,0,1.8,,,,,
2016-04-27,11.0,20.2,2.7,0.0,10.5,,0,0,1.9,,,,,
2016-04-28,9.6,12.1,7.7,21.0,0.0,,0,0,3.1,,,,,
2016-04-29,6.9,11.6,4.3,9.0,2.4,,0,0,2.3,,,,,
2016-04-30,6.8,11.6,2.2,1.0,8.5,,0,0,2.4,,,,,
2016-05-01,7.0,12.8,2.5,1.0,2.6,,0,0,1.2,,,,,
2016-05-02,11.9,18.1,5.3,0.0,0.2,,0,0,0.8,,,,,
2016-05-03,19.9,31.3,8.6,0.0,10.3,,0,0,1.7,,,,,
2016-05-04,15.1,18.1,12.3,5.5,0.3,,0,0,3.5,,,,,
2016-05-05,13.7,15.5,11.5,0.0,0.0,,0,0,4.8,,,,,
2016-05-06,13.3,16.6,7.8,0.0,2.9,,0,0,1.6,,,,,
2016-05-07,12.7,15.1,10.7,15.5,2.9,,0,0,2.4,,,,,
2016-05-08,13.3,18.2,6.8,0.0,12.8,,0,0,3.7,,,,,
2016-05-09,13.4,23.8,5.0,0.0,8.2,,0,0,1.1,,,,,
2016-05-10,14.5,20.1,9.8,12.0,0.2,,0,0,3.1,,,,,
2016-05-11,12.2,14.5,10.9,29.0,0.0,,0,0,3.7,,,,,
2016-05-12,11.0,14.1,7.5,1.5,2.6,,0,0,3.3,,,,,
2016-05-13,15.3,25.5,6.7,0.0,10.2,,0,0,2.1,,,,,
2016-05-14,16.5,21.9,11.7,0.0,11.5,,0,0,2.8,,,,,
2016-05-15,18.6,29.3,7.6,0.0,13.1,,0,0,1.9,,,,,
2016-05-16,20.2,29.6,10.7,0.0,10.3,,0,0,2.5,,,,,
2016-05-17,14.5,19.8,10.4,5.5,6.5,,0,0,2.0,,,,,
2016-05-18,15.8,22.2,9.5,0.0,12.3,,0,0,1.9,,,,,
2016-05-19,17.0,27.7,7.8,0.0,12.4,,0,0,1.2,,,,,
2016-05-20,19.3,29.4,10.5,0.0,11.1,,0,0,1.5,,,,,
2016-05-21,19.5,28.3,11.1,0.0,12.7,,0,0,1.7,,,,,
2016-05-22,18.6,27.2,11.2,0.0,13.6,,0,0,1.7,,,,,
2016-05-23,17.1,26.0,8.8,0.0,10.2,,0,0,1.8,,,,,
2016-05-24,19.4,26.3,12.4,0.0,1.7,,0,0,1.4,,,,,
2016-05-25,17.4,19.5,16.4,1.5,0.0,,0,0,2.2,,,,,
2016-05-26,21.1,25.9,17.0,6.0,6.2,,0,0,2.3,,,,,
2016-05-27,17.9,21.5,12.7,0.0,7.0,,0,0,2.5,,,,,
2016-05-28,17.2,25.5,11.3,0.0,12.0,,0,0,1.8,,,,,
2016-05-29,17.9,25.2,9.6,0.0,7.2,,0,0,1.5,,,,,
2016-05-30,19.7,28.5,15.1,3.5,5.7,,0,0,1.9,,,,,
2016-05-31,16.5,24.4,13.1,12.5,3.5,,0,0,2.2,,,,,
2016-06-01,12.1,14.0,10.8,2.0,0.3,,0,0,3.2,,,,,
2016-06-02,12.8,17.9,8.8,0.0,3.6,,0,0,2.3,,,,,
2016-06-03,12.2,19.0,6.2,0.0,1.8,,0,0,1.7,,,,,
2016-06-04,15.4,22.6,7.6,7.0,3.5,,0,0,2.0,,,,,
2016-06-05,15.4,19.5,10.7,0.0,7.7,,0,0,2.3,,,,,
2016-06-06,16.5,25.2,9.3,0.0,7.8,,0,0,1.3,,,,,
2016-06-07,20.2,28.7,12.5,0.0,12.0,,0,0,1.4,,,,,
2016-06-08,19.0,21.8,15.8,4.5,0.6,,0,0,1.0,,,,,
2016-06-09,18.8,20.4,17.4,21.0,0.0,,0,0,1.2,,,,,
2016-06-10,17.9,22.1,13.2,0.0,9.8,,0,0,2.5,,,,,
2016-06-11,20.9,30.0,13.1,0.0,10.8,,0,0,1.4,,,,,
2016-06-12,22.4,29.7,14.7,0.0,7.3,,0,0,1.2,,,,,
2016-06-13,20.2,22.3,18.7,0.5,0.0,,0,0,1.5,,,,,
2016-06-14,19.4,23.8,16.9,1.0,0.5,,0,0,1.8,,,,,
2016-06-15,21.3,27.7,16.6,0.5,8.3,,0,0,1.8,,,,,
2016-06-16,19.3,21.7,16.5,8.5,0.3,,0,0,1.4,,,,,
2016-06-17,19.2,22.4,17.3,11.0,0.7,,0,0,1.7,,,,,
2016-06-18,17.2,18.8,15.1,1.5,0.4,,0,0,2.0,,,,,
2016-06-19,22.0,29.9,14.3,7.0,7.2,,0,0,1.5,,,,,
2016-06-20,20.6,24.9,18.6,7.5,1.5,,0,0,2.2,,,,,
2016-06-21,21.6,27.7,17.8,0.0,7.6,,0,0,1.6,,,,,
2016-06-22,21.2,26.5,18.2,0.0,6.1,,0,0,1.7,,,,,
2016-06-23,17.9,19.8,15.5,0.0,2.1,,0,0,2.7,,,,,
2016-06-24,18.7,23.2,14.5,1.0,0.4,,0,0,1.7,,,,,
2016-06-25,20.6,24.4,17.8,14.0,2.4,,0,0,3.9,,,,,
2016-06-26,15.7,18.8,14.5,6.5,0.0,,0,0,3.9,,,,,
2016-06-27,18.3,23.2,14.3,0.0,9.0,,0,0,2.2,,,,,
2016-06-28,19.8,25.3,14.8,0.0,1.9,,0,0,1.0,,,,,
2016-06-29,21.6,29.3,15.5,0.0,10.2,,0,0,1.2,,,,,
2016-06-30,21.9,28.5,16.3,0.0,4.0,,0,0,1.4,,,,,
2016-07-01,23.0,27.0,20.3,0.0,2.4,,0,0,1.5,,,,,
2016-07-02,23.0,27.4,19.5,7.5,0.8,,0,0,2.7,,,,,
2016-07-03,21.0,25.8,18.4,0.0,6.0,,0,0,3.3,,,,,
2016-07-04,19.9,22.6,17.5,1.0,7.7,,0,0,2.9,,,,,
2016-07-05,20.8,25.9,16.1,0.0,9.1,,0,0,3.0,,,,,
2016-07-06,17.3,19.2,16.1,45.0,0.0,,0,0,1.8,,,,,
2016-07-07,19.0,23.3,15.0,0.5,1.3,,0,0,1.7,,,,,
2016-07-08,21.1,26.1,17.5,0.0,8.7,,0,0,1.8,,,,,
2016-07-09,21.4,25.4,19.1,4.0,0.4,,0,0,1.5,,,,,
2016-07-10,20.6,22.9,18.1,4.0,0.0,,0,0,2.0,,,,,
2016-07-11,20.1,24.8,15.5,0.0,12.1,,0,0,2.4,,,,,
2016-07-12,20.5,28.4,14.1,0.0,11.1,,0,0,1.6,,,,,
2016-07-13,24.0,31.7,15.8,0.0,11.6,,0,0,1.5,,,,,
2016-07-14,20.5,23.0,18.4,23.0,0.0,,0,0,1.8,,,,,
2016-07-15,21.4,26.8,18.3,0.0,8.5,,0,0,3.2,,,,,
2016-07-16,22.8,29.6,17.1,0.0,2.9,,0,0,1.5,,,,,
2016-07-17,22.1,23.6,20.9,14.0,0.0,,0,0,1.0,,,,,
2016-07-18,21.9,25.4,19.7,2.0,0.1,,0,0,2.1,,,,,
2016-07-19,21.0,24.2,19.4,2.5,1.7,,0,0,2.1,,,,,
2016-07-20,21.9,27.3,18.3,0.0,6.2,,0,0,1.6,,,,,
2016-07-21,21.9,27.5,16.9,0.0,4.4,,0,0,1.4,,,,,
2016-07-22,22.3,29.3,15.8,0.0,13.4,,0,0,2.7,,,,,
2016-07-23,21.6,27.9,15.8,0.0,12.5,,0,0,3.1,,,,,
2016-07-24,23.8,30.7,17.6,0.0,13.0,,0,0,2.3,,,,,
2016-07-25,24.8,32.2,17.4,0.0,11.6,,0,0,1.5,,,,,
2016-07-26,25.1,31.9,20.1,0.0,8.2,,0,0,1.4,,,,,
2016-07-27,23.4,26.6,21.4,4.0,0.0,,0,0,1.2,,,,,
2016-07-28,25.0,28.8,22.2,11.5,0.0,,0,0,1.2,,,,,
2016-07-29,27.2,33.8,22.4,0.0,10.5,,0,0,1.4,,,,,
2016-07-30,27.1,32.5,23.2,0.0,6.2,,0,0,1.3,,,,,
2016-07-31,26.7,33.3,22.7,0.0,7.9,,0,0,1.3,,,,,
2016-08-01,26.6,34.1,21.5,0.0,9.3,,0,0,1.4,,,,,
2016-08-02,25.4,31.7,22.2,0.0,4.4,,0,0,1.3,,,,,
2016-08-03,25.3,31.7,21.7,0.0,8.6,,0,0,1.8,,,,,
2016-08-04,25.0,29.8,21.0,0.0,8.0,,0,0,1.7,,,,,
2016-08-05,25.8,30.5,21.3,0.0,4.8,,0,0,2.2,,,,,
2016-08-06,26.4,31.2,22.5,0.0,5.8,,0,0,1.5,,,,,
2016-08-07,28.4,36.3,21.6,0.0,11.4,,0,0,1.2,,,,,
2016-08-08,28.6,35.9,21.6,0.0,10.5,,0,0,1.3,,,,,
2016-08-09,26.2,31.5,22.1,0.0,7.6,,0,0,2.6,,,,,
2016-08-10,23.0,27.6,18.2,0.0,4.0,,0,0,1.9,,,,,
2016-08-11,22.6,31.1,17.0,0.0,9.7,,0,0,1.2,,,,,
2016-08-12,24.0,32.2,16.4,0.0,13.3,,0,0,1.1,,,,,
2016-08-13,25.4,33.4,18.0,0.0,13.0,,0,0,1.5,,,,,
2016-08-14,25.0,31.5,19.5,0.0,13.3,,0,0,2.4,,,,,
2016-08-15,24.1,31.0,18.2,0.0,6.1,,0,0,1.3,,,,,
2016-08-16,25.4,30.1,22.0,1.0,0.7,,0,0,1.5,,,,,
2016-08-17,23.1,24.4,22.0,32.5,0.1,,0,0,1.8,,,,,
2016-08-18,25.7,32.4,21.2,0.5,8.6,,0,0,1.3,,,,,
2016-08-19,26.4,32.7,20.8,0.0,4.6,,0,0,1.2,,,,,
2016-08-20,27.2,34.5,22.1,0.0,4.9,,0,0,1.6,,,,,
2016-08-21,27.0,32.6,23.5,0.0,3.7,,0,0,1.9,,,,,
2016-08-22,25.2,31.8,22.0,61.5,0.8,,0,0,1.3,,,,,
2016-08-23,24.2,29.2,19.6,11.0,9.7,,0,0,2.2,,,,,
2016-08-24,24.4,31.8,18.3,0.0,10.2,,0,0,1.5,,,,,
2016-08-25,25.9,32.4,20.2,0.0,8.0,,0,0,1.5,,,,,
2016-08-26,21.3,23.9,17.7,56.5,0.0,,0,0,1.0,,,,,
2016-08-27,20.1,25.3,15.1,0.0,11.3,,0,0,2.4,,,,,
2016-08-28,21.4,26.0,17.9,0.0,11.9,,0,0,3.6,,,,,
2016-08-29,26.0,30.2,21.2,0.0,9.4,,0,0,4.6,,,,,
2016-08-30,25.6,30.4,19.9,7.5,6.9,,0,0,4.7,,,,,
2016-08-31,24.4,31.3,19.5,0.0,9.0,,0,0,1.3,,,,,
2016-09-01,24.0,31.5,18.7,0.0,9.5,,0,0,1.3,,,,,
2016-09-02,25.3,31.8,19.0,0.0,10.4,,0,0,1.9,,,,,
2016-09-03,25.6,32.4,20.5,0.0,11.2,,0,0,2.1,,,,,
2016-09-04,25.6,31.8,19.6,0.0,11.5,,0,0,2.2,,,,,
2016-09-05,26.6,34.3,21.1,0.0,9.2,,0,0,1.4,,,,,
2016-09-06,23.8,27.8,21.5,5.0,0.8,,0,0,1.8,,,,,
2016-09-07,23.2,28.2,19.5,0.0,5.3,,0,0,1.2,,,,,
2016-09-08,20.3,25.0,17.9,24.0,1.0,,0,0,3.0,,,,,
2016-09-09,20.7,25.0,17.9,10.0,1.2,,0,0,2.1,,,,,
2016-09-10,20.9,25.1,17.4,4.0,6.5,,0,0,2.1,,,,,
2016-09-11,20.8,27.2,16.2,0.0,9.3,,0,0,1.4,,,,,
2016-09-12,20.4,24.7,16.6,0.0,2.6,,0,0,2.1,,,,,
2016-09-13,19.1,20.0,18.1,4.5,0.0,,0,0,1.7,,,,,
2016-09-14,20.1,22.3,18.1,3.5,0.0,,0,0,1.3,,,,,
2016-09-15,21.3,27.2,17.3,0.0,7.8,,0,0,1.3,,,,,
2016-09-16,20.1,25.6,16.8,0.0,3.4,,0,0,0.9,,,,,
2016-09-17,19.7,22.9,16.9,25.5,2.4,,0,0,1.1,,,,,
2016-09-18,20.4,26.1,17.0,0.0,5.3,,0,0,1.3,,,,,
2016-09-19,17.8,24.5,13.0,0.0,7.6,,0,0,1.4,,,,,
2016-09-20,16.0,20.9,12.4,0.0,0.4,,0,0,1.9,,,,,
2016-09-21,17.2,24.4,9.5,0.0,11.1,,0,0,2.3,,,,,
2016-09-22,17.7,23.3,12.5,31.5,0.5,,0,0,1.5,,,,,
2016-09-23,18.2,20.8,16.2,10.5,0.0,,0,0,0.8,,,,,
2016-09-24,19.9,26.0,16.1,0.0,6.6,,0,0,0.9,,,,,
2016-09-25,19.8,26.2,15.6,0.0,4.0,,0,0,1.1,,,,,
2016-09-26,20.7,26.9,16.8,0.0,3.0,,0,0,1.0,,,,,
2016-09-27,20.1,24.4,17.9,23.5,,,0,0,0.7,,,,,
2016-09-28,21.6,24.1,19.4,4.5,0.0,,0,0,1.9,,,,,
2016-09-29,17.4,21.4,12.2,0.5,1.9,,0,0,1.7,,,,,
2016-09-30,14.8,20.7,10.9,0.0,4.6,,0,0,1.0,,,,,
2016-10-01,16.6,24.1,11.7,0.0,7.0,,0,0,1.1,,,,,
2016-10-02,17.0,23.8,13.3,0.0,5.4,,0,0,1.0,,,,,
2016-10-03,17.8,23.5,12.5,26.5,0.1,,0,0,2.0,,,,,
2016-10-04,17.1,21.8,8.9,0.0,8.3,,0,0,3.3,,,,,
2016-10-05,13.4,18.9,7.3,24.5,1.7,,0,0,1.6,,,,,
2016-10-06,16.5,20.7,13.7,0.5,5.2,,0,0,3.0,,,,,
2016-10-07,12.7,17.2,7.2,0.0,9.9,,0,0,2.1,,,,,
2016-10-08,12.5,19.7,8.7,128.0,0.0,,0,0,1.7,,,,,
2016-10-09,14.2,19.2,8.7,2.5,4.8,,0,0,2.5,,,,,
2016-10-10,10.4,15.3,5.7,0.5,3.1,,0,0,1.4,,,,,
2016-10-11,11.6,18.2,5.7,10.0,8.0,,0,0,1.4,,,,,
2016-10-12,10.4,13.0,7.3,2.5,1.1,,0,0,1.2,,,,,
2016-10-13,10.4,15.8,7.1,1.5,5.0,,0,0,1.4,,,,,
2016-10-14,10.8,16.7,7.6,1.5,2.2,,0,0,1.1,,,,,
2016-10-15,12.0,19.3,8.5,0.5,5.7,,0,0,1.0,,,,,
2016-10-16,12.1,21.2,7.1,0.0,5.5,,0,0,1.0,,,,,
2016-10-17,14.4,18.4,9.7,3.0,0.0,,0,0,0.9,,,,,
2016-10-18,15.5,21.3,9.3,1.5,8.0,,0,0,1.7,,,,,
2016-10-19,11.9,20.5,8.0,0.0,6.8,,0,0,1.0,,,,,
2016-10-20,10.1,17.4,6.8,4.0,4.2,,0,0,2.7,,,,,
2016-10-21,8.8,11.9,3.7,0.0,1.1,,0,0,2.3,,,,,
2016-10-22,8.5,14.6,2.2,0.0,3.0,,0,0,1.0,,,,,
2016-10-23,8.8,14.1,2.6,0.0,6.2,,0,0,1.2,,,,,
2016-10-24,8.8,14.0,3.3,0.0,3.0,,0,0,2.3,,,,,
2016-10-25,8.9,14.2,2.2,8.0,4.1,,0,0,1.5,,,,,
2016-10-26,12.8,17.8,8.3,0.0,1.8,,0,0,1.8,,,,,
2016-10-27,9.0,12.4,4.4,0.0,4.2,,0,0,2.6,,,,,
2016-10-28,9.0,12.4,4.8,0.0,1.4,,0,0,1.3,,,,,
2016-10-29,6.8,10.5,2.1,2.0,1.8,,0,0,1.5,,,,,
2016-10-30,5.8,11.5,0.2,0.0,3.4,,0,0,1.9,,,,,
2016-10-31,6.0,12.9,-0.4,16.0,0.0,,0,0,1.5,,,,,
2016-11-01,5.0,8.0,3.4,6.5,0.0,,0,0,0.9,,,,,
2016-11-02,4.4,10.4,0.2,0.5,4.0,,0,0,0.9,,,,,
2016-11-03,5.6,11.3,0.3,11.0,2.3,,0,0,1.8,,,,,
2016-11-04,6.9,10.0,3.5,0.0,4.8,,0,0,3.0,,,,,
2016-11-05,10.3,17.5,4.0,13.0,1.3,,0,0,3.1,,,,,
2016-11-06,5.6,10.1,2.7,0.0,0.4,,0,0,2.7,,,,,
2016-11-07,4.6,10.0,-0.3,0.0,9.4,,0,0,0.9,,,,,
2016-11-08,4.7,11.2,-0.9,11.5,0.0,,0,0,1.6,,,,,
2016-11-09,2.6,6.8,0.0,9.0,1.5,,1,1,3.5,,,,,
2016-11-10,2.4,5.8,-0.9,0.5,0.5,,2,1,1.8,,,,,
2016-11-11,4.8,11.0,-1.1,8.0,0.8,,0,0,1.5,,,,,
2016-11-12,9.4,14.1,2.7,0.5,4.8,,0,0,1.9,,,,,
2016-11-13,6.4,15.0,1.9,4.0,1.4,,0,0,1.5,,,,,
2016-11-14,6.5,15.6,2.3,0.0,5.6,,0,0,0.9,,,,,
2016-11-15,8.7,14.1,5.0,14.5,1.4,,0,0,2.5,,,,,
2016-11-16,5.1,7.0,2.9,0.5,1.1,,0,0,3.0,,,,,
2016-11-17,4.1,7.3,2.4,1.0,1.3,,0,0,2.1,,,,,
2016-11-18,5.9,12.3,0.3,0.0,5.1,,0,0,1.4,,,,,
2016-11-19,3.9,8.8,1.0,0.0,0.8,,0,0,0.6,,,,,
2016-11-20,6.2,12.7,2.9,3.0,0.0,,0,0,1.5,,,,,
2016-11-21,3.4,8.4,-1.2,0.0,5.3,,0,0,1.0,,,,,
2016-11-22,4.5,12.1,0.8,4.5,3.9,,0,0,1.5,,,,,
2016-11-23,0.4,3.3,-2.6,0.0,3.4,,0,0,2.3,,,,,
2016-11-24,-0.4,3.5,-3.9,0.0,4.4,,0,0,1.0,,,,,
2016-11-25,0.6,2.5,-0.6,0.5,0.0,,0,0,1.2,,,,,
2016-11-26,1.1,6.1,-2.1,0.0,2.8,,0,0,0.9,,,,,
2016-11-27,4.9,9.4,1.1,19.5,0.0,,0,0,1.1,,,,,
2016-11-28,4.5,7.4,3.3,1.5,3.0,,0,0,2.4,,,,,
