calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-13,-0.5,4.4,-5.7,5.0,0.5,,,,1.0,,,,,
2016-12-14,-0.2,0.8,-1.8,5.5,0.0,,,,1.4,,,,,
2016-12-15,-1.8,0.0,-4.4,10.0,0.0,,,,3.9,,,,,
2016-12-16,-4.4,-3.1,-5.9,14.5,0.0,,,,2.1,,,,,
2016-12-17,-2.1,1.2,-3.7,12.5,0.0,,,,3.4,,,,,
2016-12-18,4.6,6.9,1.1,5.5,0.8,,,,4.0,,,,,
2016-12-19,3.6,7.1,-1.4,0.0,5.5,,,,1.7,,,,,
2016-12-20,1.1,5.4,-2.4,2.0,0.8,,,,0.7,,,,,
2016-12-21,0.7,7.4,-3.4,0.0,1.2,,,,1.1,,,,,
2016-12-22,2.3,5.1,-1.8,12.5,0.0,,,,1.0,,,,,
2016-12-23,3.9,10.2,-0.4,18.5,0.5,,,,5.5,,,,,
2016-12-24,-0.9,0.3,-2.2,1.5,0.0,,,,2.2,,,,,
2016-12-25,-1.0,2.1,-4.8,0.0,5.2,,,,2.0,,,,,
2016-12-26,-0.7,5.6,-5.7,0.5,5.4,,,,0.6,,,,,
2016-12-27,0.3,2.2,-2.4,11.5,0.0,,,,0.5,,,,,
2016-12-28,-2.6,-0.7,-5.9,0.0,4.2,,,,1.6,,,,,
2016-12-29,-1.3,3.1,-4.2,11.0,0.1,,,,,,,,,
2016-12-30,-2.9,-1.0,-4.9,1.0,3.3,,,,,,,,,
2016-12-31,0.2,2.8,-2.5,2.5,2.5,,,,2.7,,,,,
2017-01-01,-0.3,1.8,-3.1,2.0,0.2,,,,2.7,,,,,
2017-01-02,1.9,3.9,0.5,10.5,0.6,,,,1.8,,,,,
2017-01-03,0.6,3.0,-1.6,0.5,3.0,,,,1.3,,,,,
2017-01-04,-0.5,1.7,-1.6,5.5,2.0,,,,0.7,,,,,
2017-01-05,-3.2,0.5,-7.2,0.5,3.3,,,,0.8,,,,,
2017-01-06,-4.1,-0.1,-9.6,0.0,5.2,,,,1.2,,,,,
2017-01-07,0.8,2.7,-2.4,0.5,0.8,,,,2.3,,,,,
2017-01-08,-0.2,4.9,-5.8,0.0,7.1,,,,0.9,,,,,
2017-01-09,1.0,3.2,-0.8,6.0,0.0,,,,1.3,,,,,
2017-01-10,-1.2,1.4,-4.4,7.0,2.2,,,,2.7,,,,,
2017-01-11,-6.0,-3.6,-7.0,15.0,0.0,,,,3.3,,,,,
2017-01-12,-5.8,-5.2,-6.5,18.0,0.0,,,,2.7,,,,,
2017-01-13,-5.5,-4.8,-6.7,17.5,0.0,,,,,,,,,
2017-01-14,-8.1,-6.5,-9.8,6.5,0.0,,,,,,,,,
2017-01-15,-8.0,-3.5,-14.6,0.0,4.3,,,,,,,,,
2017-01-16,-4.2,-0.3,-8.7,3.0,0.3,,,,1.0,,,,,
2017-01-17,-5.1,0.1,-9.3,0.0,4.2,,,,0.9,,,,,
2017-01-18,-2.2,2.2,-6.5,1.5,4.9,,,,0.8,,,,,
2017-01-19,-1.1,1.5,-5.9,9.5,3.5,,,,2.8,,,,,
2017-01-20,-3.1,1.3,-7.8,0.0,3.4,,,,0.9,,,,,
2017-01-21,-2.4,1.5,-6.2,0.0,1.9,,,,1.0,,,,,
2017-01-22,-3.1,-0.6,-7.7,6.5,0.0,,,,0.9,,,,,
2017-01-23,-3.7,-1.4,-6.2,6.0,1.1,,,,1.8,,,,,
2017-01-24,-5.4,-4.2,-6.4,4.5,0.2,,,,2.4,,,,,
2017-01-25,-3.7,-2.1,-6.7,0.5,1.6,,,,2.3,,,,,
2017-01-26,-0.8,2.0,-4.6,0.5,2.8,,,,2.5,,,,,
2017-01-27,-2.4,5.2,-6.7,10.0,0.2,,,,2.9,,,,,
2017-01-28,-1.4,1.0,-3.7,1.0,2.7,,,,5.3,,,,,
2017-01-29,-0.3,3.9,-2.8,0.0,3.6,,,,0.7,,,,,
2017-01-30,-1.1,0.5,-3.7,19.5,0.0,,,,,,,,,
2017-01-31,-3.5,-1.4,-5.5,0.5,1.8,,,,2.9,,,,,
2017-02-01,-2.9,0.3,-7.2,10.5,0.1,,,,2.7,,,,,
2017-02-02,-6.3,-4.1,-8.4,1.5,0.6,,,,4.6,,,,,
2017-02-03,-3.0,0.1,-5.2,0.0,0.0,,,,3.4,,,,,
2017-02-04,0.8,2.4,-0.7,0.5,2.2,,,,3.1,,,,,
2017-02-05,-0.5,5.0,-6.4,3.0,1.3,,,,0.4,,,,,
2017-02-06,0.4,3.7,-1.0,25.5,0.0,,,,,,,,,
2017-02-07,-3.1,-0.3,-5.6,7.5,0.7,,,,,,,,,
2017-02-08,-3.5,-1.6,-5.3,0.5,0.0,,,,,,,,,
2017-02-09,-2.2,2.2,-5.7,0.5,1.1,,,,,,,,,
2017-02-10,-1.9,0.0,-3.5,12.0,0.0,,,,,,,,,
2017-02-11,-3.6,-1.3,-9.0,10.5,0.0,,,,,,,,,
2017-02-12,-1.8,0.3,-9.6,0.5,0.0,,,,,,,,,
2017-02-13,-0.5,0.6,-1.5,1.0,0.0,,,,2.7,,,,,
2017-02-14,-0.5,1.8,-2.7,0.5,3.0,,,,1.8,,,,,
2017-02-15,-1.1,1.3,-4.8,1.5,0.4,,,,1.8,,,,,
2017-02-16,2.3,6.7,-2.1,0.0,0.0,,,,2.7,,,,,
2017-02-17,3.7,8.9,-2.3,30.0,0.9,,,,4.8,,,,,
2017-02-18,-4.2,-2.1,-5.1,4.0,2.6,,,,4.5,,,,,
2017-02-19,-4.8,-3.3,-6.7,2.0,2.4,,,,4.3,,,,,
2017-02-20,-2.3,2.4,-5.4,26.5,0.0,,,,1.6,,,,,
2017-02-21,-3.7,0.4,-5.1,1.0,1.9,,,,3.4,,,,,
2017-02-22,-2.0,0.3,-4.6,0.0,1.3,,,,1.6,,,,,
2017-02-23,0.4,4.4,-1.8,20.5,0.0,,,,2.7,,,,,
2017-02-24,-3.0,-0.7,-4.4,6.5,1.9,,,,5.5,,,,,
2017-02-25,-1.7,1.9,-4.7,3.0,5.6,,,,2.6,,,,,
2017-02-26,-0.6,1.2,-2.6,4.0,3.9,,,,3.2,,,,,
2017-02-27,-4.2,-0.3,-11.4,0.0,5.7,,,,1.6,,,,,
2017-02-28,-5.8,3.7,-16.3,0.0,9.8,,,,0.6,,,,,
2017-03-01,-3.3,4.7,-12.8,0.0,9.0,,,,0.8,,,,,
2017-03-02,1.1,5.5,-2.6,0.0,0.3,,,,0.7,,,,,
2017-03-03,-0.3,2.4,-2.4,0.0,2.4,,,,3.8,,,,,
2017-03-04,-0.3,1.8,-2.1,7.0,0.0,,,,3.5,,,,,
2017-03-05,-0.9,3.1,-4.7,0.0,7.0,,,,1.7,,,,,
2017-03-06,0.9,8.8,-5.0,4.0,0.7,,,,1.9,,,,,
2017-03-07,-2.7,-1.1,-4.4,5.0,0.3,,,,4.0,,,,,
2017-03-08,-2.7,-0.9,-5.0,12.5,0.8,,,,3.0,,,,,
2017-03-09,-0.6,1.1,-2.1,7.0,0.1,,,,2.8,,,,,
2017-03-10,-1.3,1.3,-5.5,6.5,1.8,,,,2.3,,,,,
2017-03-11,-3.2,2.7,-10.9,0.0,6.4,,,,1.3,,,,,
2017-03-12,-1.3,3.5,-5.4,0.0,1.7,,,,0.7,,,,,
2017-03-13,-0.6,4.3,-7.4,0.0,0.7,,,,1.2,,,,,
2017-03-14,0.6,2.5,-0.9,9.5,0.0,,,,0.3,,,,,
2017-03-15,-1.2,1.7,-5.6,2.5,1.9,,,,,,,,,
2017-03-16,-0.2,4.3,-5.7,0.5,4.6,,,,1.7,,,,,
2017-03-17,1.4,4.2,-1.1,1.5,5.5,,,,1.7,,,,,
2017-03-18,1.9,4.8,-2.0,2.5,2.9,,,,2.3,,,,,
2017-03-19,1.2,4.8,-4.6,0.5,9.3,,,,2.1,,,,,
2017-03-20,2.9,7.2,-2.0,0.0,8.8,,,,2.0,,,,,
2017-03-21,1.2,6.5,-2.2,7.5,0.1,,,,,,,,,
2017-03-22,2.1,4.9,0.0,1.5,3.0,,,,,,,,,
2017-03-23,0.4,3.0,-3.0,2.0,4.9,,,,2.5,,,,,
2017-03-24,-0.9,2.0,-3.3,4.5,2.7,,,,1.3,,,,,
2017-03-25,-0.3,3.8,-4.0,0.0,4.9,,,,,,,,,
2017-03-26,0.9,7.5,-5.9,0.0,4.8,,,,0.8,,,,,
2017-03-27,1.6,4.6,-0.9,0.5,0.0,,,,0.7,,,,,
2017-03-28,0.2,4.6,-4.3,2.5,3.1,,,,1.4,,,,,
2017-03-29,2.3,6.0,-1.4,2.5,1.7,,,,2.0,,,,,
2017-03-30,4.2,9.0,0.9,6.5,4.5,,,,2.6,,,,,
2017-03-31,2.0,4.6,-0.7,3.0,0.2,,,,1.2,,,,,
2017-04-01,1.4,5.4,-1.2,0.0,0.9,,,,,,,,,
2017-04-02,1.6,5.6,-0.8,2.0,7.1,,,,1.1,,,,,
2017-04-03,2.3,7.9,-1.4,0.0,4.6,,,,,,,,,
2017-04-04,2.9,10.0,-3.5,0.0,8.5,,,,1.3,,,,,
2017-04-05,4.6,14.7,-3.2,0.0,11.2,,,,1.0,,,,,
2017-04-06,6.8,18.4,0.7,0.5,6.1,,,,0.6,,,,,
2017-04-07,5.5,10.2,2.2,19.5,0.0,,,,1.7,,,,,
2017-04-08,4.9,12.1,1.1,0.0,1.2,,,,0.8,,,,,
2017-04-09,4.6,7.8,2.3,1.5,4.0,,,,1.8,,,,,
2017-04-10,3.1,9.9,-2.8,0.0,10.5,,,,1.5,,,,,
2017-04-11,4.8,10.3,-0.7,13.5,2.6,,,,1.3,,,,,
2017-04-12,4.1,7.1,1.4,6.0,1.6,,,,3.9,,,,,
2017-04-13,2.8,5.0,-0.4,0.5,2.5,,,,4.9,,,,,
2017-04-14,8.1,15.5,1.8,0.0,8.6,,,,3.3,,,,,
2017-04-15,8.1,11.7,1.4,5.5,0.0,,,,2.7,,,,,
2017-04-16,9.6,15.9,1.4,0.0,3.6,,,,3.1,,,,,
2017-04-17,9.7,16.6,3.3,6.0,7.0,,,,1.9,,,,,
2017-04-18,8.9,18.2,4.3,16.0,2.4,,,,3.8,,,,,
2017-04-19,5.8,11.4,1.9,38.5,0.5,,,,4.8,,,,,
2017-04-20,4.3,8.6,2.0,2.0,1.4,,,,3.0,,,,,
2017-04-21,7.8,15.0,2.1,0.5,3.0,,,,0.8,,,,,
2017-04-22,6.0,9.1,3.2,2.5,3.0,,,,2.8,,,,,
2017-04-23,4.9,10.3,0.9,3.0,1.6,,,,1.6,,,,,
2017-04-24,8.0,18.0,-1.2,0.0,12.0,,,,0.9,,,,,
2017-04-25,11.2,19.5,3.7,0.0,5.6,,,,1.1,,,,,
2017-04-26,9.2,10.8,6.8,33.5,0.0,,,,1.1,,,,,
2017-04-27,7.9,12.0,3.5,1.0,9.2,,,,3.5,,,,,
2017-04-28,8.7,14.2,1.9,0.0,6.7,,,,3.1,,,,,
2017-04-29,6.9,14.2,1.7,2.5,3.2,,,,1.3,,,,,
2017-04-30,12.1,21.2,2.7,0.0,7.8,,,,3.2,,,,,
2017-05-01,10.3,13.9,5.6,0.0,5.4,,,,2.8,,,,,
2017-05-02,9.9,15.8,3.4,0.0,10.7,,,,3.0,,,,,
2017-05-03,10.9,21.7,-0.5,0.0,12.3,,,,1.4,,,,,
2017-05-04,14.2,26.7,0.4,0.0,11.8,,,,1.2,,,,,
2017-05-05,15.0,23.0,5.4,0.0,11.5,,,,1.7,,,,,
2017-05-06,11.8,15.0,5.2,16.5,0.3,,,,1.1,,,,,
2017-05-07,10.4,15.7,3.5,0.0,10.3,,,,3.8,,,,,
2017-05-08,10.9,15.6,8.3,0.0,3.5,,,,4.1,,,,,
2017-05-09,11.5,18.5,4.1,0.0,8.8,,,,1.4,,,,,
2017-05-10,12.5,16.6,7.6,9.5,1.3,,,,0.7,,,,,
2017-05-11,11.1,13.8,8.1,23.5,0.0,,,,2.4,,,,,
2017-05-12,13.7,19.4,10.0,1.0,3.2,,,,1.4,,,,,
2017-05-13,11.5,13.3,10.1,12.0,0.0,,,,0.9,,,,,
2017-05-14,11.6,13.7,10.1,1.0,0.0,,,,0.8,,,,,
2017-05-15,11.1,14.6,9.3,35.0,0.1,,,,0.4,,,,,
2017-05-16,10.0,13.0,8.5,2.0,1.1,,,,2.4,,,,,
2017-05-17,11.9,18.2,6.5,0.0,8.3,,,,1.5,,,,,
2017-05-18,12.5,20.1,6.0,0.0,10.4,,,,1.6,,,,,
2017-05-19,13.4,22.9,5.1,0.0,10.9,,,,1.3,,,,,
2017-05-20,15.8,24.2,5.0,0.0,12.6,,,,2.3,,,,,
2017-05-21,17.8,26.1,8.6,0.0,12.6,,,,1.7,,,,,
2017-05-22,17.8,26.5,8.9,0.0,11.3,,,,1.6,,,,,
2017-05-23,18.0,25.6,10.2,3.0,10.5,,,,1.1,,,,,
2017-05-24,16.0,19.3,13.6,0.5,0.2,,,,1.0,,,,,
2017-05-25,15.3,17.3,13.2,6.0,0.0,,,,0.6,,,,,
2017-05-26,15.7,18.4,12.7,12.5,0.0,,,,0.6,,,,,
2017-05-27,14.2,18.7,10.8,19.5,1.9,,,,1.6,,,,,
2017-05-28,12.8,15.2,10.8,3.5,0.5,,,,2.2,,,,,
2017-05-29,15.7,23.6,8.4,0.0,12.6,,,,1.7,,,,,
2017-05-30,16.5,23.2,8.1,0.0,7.5,,,,1.3,,,,,
2017-05-31,19.0,26.7,11.4,4.5,9.6,,,,1.1,,,,,
