calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-04-09,15.7,25.3,9.6,0.0,6.6,,,,1.2,,,,,
2016-04-10,15.5,21.9,11.5,0.0,5.1,,,,1.7,,,,,
2016-04-11,13.0,17.5,7.5,0.0,7.1,,,,2.9,,,,,
2016-04-12,14.1,23.8,4.9,0.0,6.0,,,,1.6,,,,,
2016-04-13,16.1,20.3,14.0,27.5,0.2,,,,2.2,,,,,
2016-04-14,16.3,20.6,12.1,1.0,6.5,,,,2.0,,,,,
2016-04-15,15.7,22.9,10.7,0.0,11.8,,,,1.7,,,,,
2016-04-16,17.0,23.6,9.6,13.0,2.4,,,,2.7,,,,,
2016-04-17,15.5,20.5,9.5,40.5,6.9,,,,4.1,,,,,
2016-04-18,12.9,16.7,8.6,0.0,0.6,,,,1.7,,,,,
2016-04-19,13.1,19.7,7.1,0.0,11.4,,,,2.0,,,,,
2016-04-20,16.2,24.3,6.1,0.0,7.8,,,,1.7,,,,,
2016-04-21,18.0,21.7,14.2,126.0,0.0,,,,3.7,,,,,
2016-04-22,17.8,24.5,12.5,0.0,7.5,,,,1.3,,,,,
2016-04-23,14.8,19.3,11.2,5.5,0.0,,,,0.8,,,,,
2016-04-24,15.4,21.3,12.0,0.5,1.5,,,,1.1,,,,,
2016-04-25,16.0,22.9,10.6,0.0,2.7,,,,0.9,,,,,
2016-04-26,18.7,26.5,13.6,0.5,1.6,,,,1.7,,,,,
2016-04-27,17.3,19.0,15.9,45.5,0.0,,,,1.2,,,,,
2016-04-28,13.9,16.6,11.4,4.5,0.0,,,,3.1,,,,,
2016-04-29,14.0,19.4,9.2,0.0,12.5,,,,2.0,,,,,
2016-04-30,16.1,24.0,6.9,0.0,12.6,,,,2.1,,,,,
2016-05-01,19.2,26.4,11.6,0.0,11.7,,,,1.8,,,,,
2016-05-02,20.7,26.5,13.4,0.0,10.0,,,,2.2,,,,,
2016-05-03,17.7,21.6,13.4,60.0,1.8,,,,4.2,,,,,
2016-05-04,19.7,24.4,12.1,0.0,12.5,,,,4.8,,,,,
2016-05-05,19.7,26.4,12.1,0.0,8.2,,,,1.5,,,,,
2016-05-06,17.5,20.9,14.9,13.5,0.0,,,,3.1,,,,,
2016-05-07,19.3,23.2,14.4,0.0,7.7,,,,2.0,,,,,
2016-05-08,18.2,26.0,12.9,10.0,3.9,,,,1.3,,,,,
2016-05-09,18.8,20.7,16.8,18.5,0.0,,,,1.5,,,,,
2016-05-10,19.2,22.7,14.8,30.0,0.0,,,,2.2,,,,,
2016-05-11,14.7,18.6,10.5,3.0,1.8,,,,2.1,,,,,
2016-05-12,17.8,26.5,7.8,0.0,13.1,,,,1.9,,,,,
2016-05-13,19.4,24.1,15.0,0.0,12.7,,,,2.5,,,,,
2016-05-14,18.7,24.5,13.5,0.0,11.1,,,,1.9,,,,,
2016-05-15,22.3,28.4,16.9,16.5,3.1,,,,2.4,,,,,
2016-05-16,16.0,23.8,10.4,44.0,0.5,,,,3.1,,,,,
2016-05-17,15.8,23.0,8.4,0.0,12.3,,,,1.9,,,,,
2016-05-18,17.6,25.2,8.1,0.0,12.9,,,,1.6,,,,,
2016-05-19,19.8,24.9,13.3,0.0,6.6,,,,1.7,,,,,
2016-05-20,21.3,30.3,13.2,0.0,11.8,,,,2.0,,,,,
2016-05-21,19.5,25.2,14.4,0.0,5.4,,,,2.0,,,,,
2016-05-22,19.6,25.5,13.9,0.0,8.9,,,,2.0,,,,,
2016-05-23,21.4,30.8,15.0,0.0,12.8,,,,2.0,,,,,
2016-05-24,22.3,28.6,15.8,17.5,4.3,,,,1.9,,,,,
2016-05-25,21.3,29.2,18.4,3.0,6.4,,,,1.6,,,,,
2016-05-26,22.2,26.8,17.8,0.0,9.3,,,,1.9,,,,,
2016-05-27,22.0,26.6,19.5,1.0,3.4,,,,2.1,,,,,
2016-05-28,19.0,21.7,16.2,6.5,0.0,,,,1.2,,,,,
2016-05-29,19.6,21.5,18.9,18.5,0.0,,,,1.1,,,,,
2016-05-30,20.8,25.7,15.6,0.0,12.8,,,,2.3,,,,,
2016-05-31,21.6,30.8,12.8,0.0,11.2,,,,1.2,,,,,
2016-06-01,20.0,25.2,17.6,0.0,3.7,,,,1.9,,,,,
2016-06-02,19.5,24.7,14.6,0.0,13.1,,,,3.0,,,,,
2016-06-03,21.1,29.3,14.3,0.0,10.1,,,,1.4,,,,,
2016-06-04,19.3,21.0,17.8,27.5,0.0,,,,1.0,,,,,
2016-06-05,19.4,21.0,18.4,6.5,0.0,,,,0.6,,,,,
2016-06-06,20.9,24.1,18.9,0.0,0.0,,,,1.2,,,,,
2016-06-07,22.0,25.8,19.4,0.0,4.1,,,,1.8,,,,,
2016-06-08,22.0,27.9,17.9,0.0,5.4,,,,1.5,,,,,
2016-06-09,22.2,26.4,19.3,10.5,7.8,,,,1.8,,,,,
2016-06-10,23.3,28.4,18.9,0.0,12.3,,,,2.0,,,,,
2016-06-11,24.8,30.7,20.3,0.0,3.2,,,,1.5,,,,,
2016-06-12,22.9,25.6,21.3,9.5,0.0,,,,1.5,,,,,
2016-06-13,23.0,28.4,20.7,0.0,5.8,,,,2.4,,,,,
2016-06-14,23.3,27.2,19.9,0.0,10.1,,,,2.5,,,,,
2016-06-15,24.7,29.4,18.9,0.0,4.4,,,,1.8,,,,,
2016-06-16,23.0,25.9,20.4,29.5,0.0,,,,1.7,,,,,
2016-06-17,22.4,27.6,18.7,0.0,6.1,,,,1.3,,,,,
2016-06-18,23.7,29.8,18.3,1.0,8.0,,,,1.7,,,,,
2016-06-19,25.3,29.3,22.5,59.0,2.4,,,,2.3,,,,,
2016-06-20,25.0,27.4,23.2,53.5,0.0,,,,1.9,,,,,
2016-06-21,25.6,29.1,23.7,4.5,7.0,,,,2.1,,,,,
2016-06-22,23.7,25.7,21.6,207.0,0.0,,,,1.8,,,,,
2016-06-23,23.8,27.9,22.2,2.5,0.4,,,,1.5,,,,,
2016-06-24,25.3,27.6,22.5,17.0,0.0,,,,4.1,,,,,
2016-06-25,21.2,23.0,18.5,3.5,0.0,,,,1.8,,,,,
2016-06-26,23.3,28.0,19.9,0.0,9.4,,,,2.3,,,,,
2016-06-27,19.4,23.3,17.0,19.5,0.1,,,,1.4,,,,,
2016-06-28,20.3,22.2,17.5,23.0,0.1,,,,0.8,,,,,
2016-06-29,22.8,25.2,21.1,50.5,0.2,,,,1.6,,,,,
2016-06-30,24.5,28.2,22.2,0.5,3.1,,,,1.4,,,,,
2016-07-01,26.4,31.2,22.1,3.5,4.6,,,,2.8,,,,,
2016-07-02,28.0,30.7,26.6,18.0,1.3,,,,2.9,,,,,
2016-07-03,28.5,32.4,26.9,11.5,4.8,,,,2.3,,,,,
2016-07-04,28.7,32.3,26.2,8.0,6.0,,,,2.4,,,,,
2016-07-05,29.0,33.5,25.4,0.0,10.2,,,,2.4,,,,,
2016-07-06,28.7,34.0,23.8,0.0,11.8,,,,1.9,,,,,
2016-07-07,26.8,33.3,22.0,0.0,6.0,,,,1.4,,,,,
2016-07-08,23.7,25.3,22.5,59.0,0.0,,,,1.4,,,,,
2016-07-09,25.8,29.7,22.6,2.5,3.7,,,,1.8,,,,,
2016-07-10,26.6,30.9,24.6,1.5,0.6,,,,0.8,,,,,
2016-07-11,26.4,28.2,25.0,26.0,0.0,,,,1.9,,,,,
2016-07-12,27.9,30.8,25.8,48.5,1.7,,,,2.7,,,,,
2016-07-13,26.3,28.2,23.5,108.0,0.0,,,,3.4,,,,,
2016-07-14,26.8,30.4,24.8,0.5,6.9,,,,2.4,,,,,
2016-07-15,25.3,29.6,22.6,0.0,9.1,,,,2.2,,,,,
2016-07-16,26.4,31.6,22.4,4.5,2.3,,,,2.0,,,,,
2016-07-17,25.9,30.6,22.5,2.5,5.1,,,,1.6,,,,,
2016-07-18,25.7,31.8,21.0,0.0,7.5,,,,1.4,,,,,
2016-07-19,26.5,31.3,23.0,0.0,7.5,,,,2.0,,,,,
2016-07-20,26.1,30.2,23.3,0.0,9.5,,,,2.3,,,,,
2016-07-21,26.1,30.6,22.9,0.0,12.3,,,,2.4,,,,,
2016-07-22,25.5,30.3,22.1,0.0,9.7,,,,2.3,,,,,
2016-07-23,26.4,33.7,21.2,0.0,9.6,,,,1.5,,,,,
2016-07-24,27.7,33.3,23.2,0.0,7.9,,,,1.5,,,,,
2016-07-25,28.6,34.5,24.5,0.0,7.1,,,,1.6,,,,,
2016-07-26,28.5,34.8,23.9,0.0,11.1,,,,1.4,,,,,
2016-07-27,28.7,34.3,24.4,0.0,12.6,,,,1.9,,,,,
2016-07-28,29.5,35.0,24.8,0.0,11.8,,,,1.6,,,,,
2016-07-29,28.9,35.5,25.2,0.0,8.7,,,,1.6,,,,,
2016-07-30,28.5,32.6,24.4,0.0,9.1,,,,2.0,,,,,
2016-07-31,28.8,34.0,24.9,0.0,9.5,,,,1.7,,,,,
2016-08-01,28.8,33.6,24.8,0.0,11.7,,,,1.9,,,,,
2016-08-02,28.7,32.6,25.4,0.0,9.0,,,,1.9,,,,,
2016-08-03,28.4,33.1,24.7,0.0,7.2,,,,1.6,,,,,
2016-08-04,28.5,34.6,24.6,0.0,8.2,,,,1.7,,,,,
2016-08-05,28.2,33.4,24.7,0.0,6.5,,,,1.5,,,,,
2016-08-06,29.3,36.8,24.2,0.0,9.5,,,,1.7,,,,,
2016-08-07,29.3,36.0,25.1,0.0,9.1,,,,1.7,,,,,
2016-08-08,29.2,33.4,25.5,0.0,9.6,,,,2.1,,,,,
2016-08-09,29.3,35.4,25.1,0.0,9.1,,,,1.8,,,,,
2016-08-10,29.0,34.3,24.9,0.0,10.7,,,,1.8,,,,,
2016-08-11,29.7,36.9,23.4,0.0,12.4,,,,1.8,,,,,
2016-08-12,29.5,34.9,23.9,0.0,12.2,,,,2.0,,,,,
2016-08-13,29.5,35.0,25.0,0.0,10.8,,,,1.8,,,,,
2016-08-14,29.3,36.5,24.6,0.0,8.8,,,,1.6,,,,,
2016-08-15,29.4,35.4,24.5,0.0,9.0,,,,1.7,,,,,
2016-08-16,28.5,34.1,23.9,12.0,9.4,,,,1.8,,,,,
2016-08-17,28.8,34.0,24.7,0.0,11.3,,,,2.0,,,,,
2016-08-18,28.6,34.2,23.3,0.0,8.0,,,,1.4,,,,,
2016-08-19,28.7,34.3,25.8,0.0,5.5,,,,1.5,,,,,
2016-08-20,28.6,33.9,25.7,0.0,9.3,,,,2.4,,,,,
2016-08-21,29.0,33.4,24.7,0.0,9.1,,,,2.3,,,,,
2016-08-22,28.8,33.4,25.4,0.0,6.1,,,,2.8,,,,,
2016-08-23,28.3,34.2,24.0,0.0,11.2,,,,2.5,,,,,
2016-08-24,27.6,34.5,22.0,0.0,11.6,,,,1.7,,,,,
2016-08-25,28.7,34.2,24.3,0.0,7.9,,,,1.7,,,,,
2016-08-26,26.9,32.8,24.8,2.5,4.3,,,,1.9,,,,,
2016-08-27,26.0,29.4,23.3,0.0,3.0,,,,2.4,,,,,
2016-08-28,22.9,25.2,19.6,87.0,0.0,,,,2.3,,,,,
2016-08-29,21.5,24.9,17.8,8.5,3.3,,,,3.1,,,,,
2016-08-30,23.4,28.2,17.3,0.0,8.1,,,,3.9,,,,,
2016-08-31,25.6,29.4,21.5,0.0,10.0,,,,4.3,,,,,
2016-09-01,25.2,27.2,23.3,0.5,0.0,,,,1.7,,,,,
2016-09-02,22.4,24.3,21.2,26.0,0.0,,,,0.6,,,,,
2016-09-03,23.9,26.7,21.7,5.0,0.0,,,,1.0,,,,,
2016-09-04,24.9,28.2,22.9,1.0,0.2,,,,1.1,,,,,
2016-09-05,26.4,32.2,23.3,12.5,6.9,,,,1.8,,,,,
2016-09-06,25.9,30.9,22.7,0.0,6.2,,,,1.7,,,,,
2016-09-07,25.4,28.4,21.8,13.0,0.1,,,,2.2,,,,,
2016-09-08,23.8,28.5,20.4,0.5,10.9,,,,1.7,,,,,
2016-09-09,23.9,28.9,19.4,0.0,10.7,,,,1.5,,,,,
2016-09-10,24.4,30.0,19.9,0.0,4.1,,,,1.1,,,,,
2016-09-11,25.2,31.2,21.0,0.0,4.7,,,,1.7,,,,,
2016-09-12,21.8,24.7,20.6,102.5,0.0,,,,1.8,,,,,
2016-09-13,24.3,28.1,21.4,0.0,4.7,,,,2.6,,,,,
2016-09-14,23.9,26.4,22.2,0.0,0.0,,,,1.3,,,,,
2016-09-15,24.2,28.2,22.0,0.0,3.6,,,,1.6,,,,,
2016-09-16,24.7,31.0,20.5,0.0,4.9,,,,1.2,,,,,
2016-09-17,25.9,31.4,22.1,24.5,4.1,,,,2.2,,,,,
2016-09-18,23.9,26.8,22.8,108.5,0.1,,,,1.1,,,,,
2016-09-19,22.3,23.4,20.8,46.5,0.0,,,,2.3,,,,,
2016-09-20,21.0,22.7,19.7,7.5,0.0,,,,5.0,,,,,
2016-09-21,21.8,26.3,17.4,0.0,5.0,,,,2.1,,,,,
2016-09-22,22.1,26.8,19.1,0.0,1.0,,,,1.3,,,,,
2016-09-23,22.8,27.1,19.7,0.0,6.0,,,,1.9,,,,,
2016-09-24,23.3,27.9,19.5,0.0,9.5,,,,1.4,,,,,
2016-09-25,23.2,28.5,19.9,1.0,0.8,,,,0.8,,,,,
2016-09-26,25.9,33.0,21.9,0.0,6.0,,,,1.4,,,,,
2016-09-27,26.3,32.3,21.7,0.0,8.3,,,,1.4,,,,,
2016-09-28,24.2,25.5,23.0,199.5,0.0,,,,0.8,,,,,
2016-09-29,21.9,23.2,20.8,47.5,0.0,,,,1.7,,,,,
2016-09-30,22.4,25.7,20.4,18.5,0.0,,,,0.9,,,,,
2016-10-01,23.7,28.3,21.5,4.5,1.6,,,,1.2,,,,,
2016-10-02,25.2,32.6,21.8,0.0,5.2,,,,1.2,,,,,
2016-10-03,25.6,32.6,21.8,0.0,3.2,,,,1.2,,,,,
2016-10-04,25.5,29.9,23.0,0.0,1.5,,,,1.2,,,,,
2016-10-05,24.5,27.1,20.7,36.5,1.5,,,,3.5,,,,,
2016-10-06,22.9,27.7,19.4,0.0,8.2,,,,1.6,,,,,
2016-10-07,22.6,27.5,19.2,0.0,3.0,,,,1.4,,,,,
2016-10-08,23.6,26.2,20.6,65.5,0.2,,,,2.2,,,,,
2016-10-09,19.5,22.8,15.4,1.0,6.7,,,,3.1,,,,,
2016-10-10,17.9,22.4,13.2,0.0,10.5,,,,2.5,,,,,
2016-10-11,18.4,23.2,13.2,0.0,4.7,,,,1.7,,,,,
2016-10-12,19.5,23.7,16.1,0.0,2.9,,,,2.3,,,,,
2016-10-13,17.7,21.1,15.0,0.0,0.0,,,,0.9,,,,,
2016-10-14,17.3,23.9,13.8,0.0,4.1,,,,0.9,,,,,
2016-10-15,18.0,24.8,11.6,0.0,5.5,,,,0.9,,,,,
2016-10-16,19.4,23.8,15.8,18.5,0.1,,,,0.9,,,,,
2016-10-17,21.3,26.1,18.5,0.0,6.9,,,,1.6,,,,,
2016-10-18,21.3,25.3,18.3,0.0,4.7,,,,1.5,,,,,
2016-10-19,20.8,23.3,18.6,0.0,0.0,,,,1.3,,,,,
2016-10-20,19.7,23.3,16.2,0.0,2.1,,,,1.3,,,,,
2016-10-21,18.4,20.3,17.2,5.5,0.0,,,,0.8,,,,,
2016-10-22,18.4,19.6,17.0,26.5,0.0,,,,1.1,,,,,
2016-10-23,19.3,21.8,17.2,1.0,2.4,,,,2.8,,,,,
2016-10-24,17.7,22.1,13.4,0.0,10.3,,,,2.0,,,,,
2016-10-25,19.8,24.6,13.2,3.0,1.2,,,,1.7,,,,,
2016-10-26,19.9,23.3,16.5,3.5,0.2,,,,1.1,,,,,
2016-10-27,19.0,23.3,15.7,0.5,6.0,,,,1.3,,,,,
2016-10-28,18.9,23.7,15.2,40.5,0.1,,,,2.3,,,,,
2016-10-29,17.0,20.9,12.8,2.0,5.2,,,,1.8,,,,,
2016-10-30,14.8,19.9,11.4,0.0,3.0,,,,1.1,,,,,
2016-10-31,13.9,16.6,11.4,2.0,0.0,,,,0.8,,,,,
2016-11-01,12.6,15.5,6.9,0.0,5.1,,,,2.4,,,,,
2016-11-02,9.7,15.2,5.4,0.0,8.4,,,,1.4,,,,,
2016-11-03,11.1,16.7,5.6,0.0,8.5,,,,1.5,,,,,
2016-11-04,11.8,19.8,6.1,0.0,9.4,,,,0.9,,,,,
2016-11-05,13.8,22.5,7.1,0.0,7.3,,,,1.0,,,,,
2016-11-06,15.5,22.0,10.1,0.0,6.0,,,,1.6,,,,,
2016-11-07,12.8,19.3,7.8,0.0,9.7,,,,1.2,,,,,
2016-11-08,12.7,15.7,9.2,5.0,0.0,,,,0.7,,,,,
2016-11-09,12.7,17.4,8.1,0.0,5.7,,,,2.4,,,,,
2016-11-10,10.1,12.2,7.9,20.0,0.0,,,,1.2,,,,,
2016-11-11,12.5,17.9,8.3,0.0,5.6,,,,1.6,,,,,
2016-11-12,12.0,19.3,6.3,0.0,6.8,,,,0.9,,,,,
2016-11-13,15.2,21.1,9.2,2.0,5.1,,,,1.2,,,,,
2016-11-14,16.7,18.5,15.0,38.0,0.0,,,,1.7,,,,,
2016-11-15,16.9,20.7,11.2,0.5,0.3,,,,1.5,,,,,
2016-11-16,12.3,17.9,8.1,0.0,9.5,,,,1.2,,,,,
2016-11-17,12.2,21.1,6.5,0.0,3.9,,,,0.9,,,,,
2016-11-18,13.1,17.7,8.2,13.0,0.6,,,,1.2,,,,,
2016-11-19,19.7,23.3,16.5,37.5,1.0,,,,1.6,,,,,
2016-11-20,17.4,21.8,13.1,0.0,0.9,,,,1.2,,,,,
2016-11-21,15.3,19.2,11.8,0.0,0.4,,,,1.1,,,,,
2016-11-22,15.8,20.8,13.1,0.5,4.1,,,,2.1,,,,,
2016-11-23,13.1,15.2,11.3,2.5,0.1,,,,2.3,,,,,
2016-11-24,7.9,11.4,2.7,3.5,8.3,,,,3.1,,,,,
2016-11-25,6.3,11.4,2.5,0.0,4.9,,,,1.3,,,,,
2016-11-26,8.7,14.7,1.8,8.5,3.7,,,,0.9,,,,,
2016-11-27,12.2,13.9,10.4,28.5,0.0,,,,2.2,,,,,
2016-11-28,9.5,12.8,3.9,0.0,2.0,,,,1.6,,,,,
2016-11-29,7.9,15.2,1.8,0.0,8.3,,,,1.1,,,,,
2016-11-30,10.1,16.0,4.3,1.5,1.3,,,,1.2,,,,,
2016-12-01,12.9,16.2,9.2,0.0,2.9,,,,2.5,,,,,
2016-12-02,8.4,13.9,3.6,0.0,8.3,,,,1.1,,,,,
2016-12-03,7.9,18.0,1.5,0.0,7.9,,,,0.8,,,,,
2016-12-04,9.7,12.3,5.6,3.5,0.0,,,,1.0,,,,,
2016-12-05,10.8,16.3,6.0,0.0,2.2,,,,0.7,,,,,
2016-12-06,9.7,13.7,2.4,0.0,8.7,,,,3.1,,,,,
2016-12-07,6.4,12.0,0.5,0.0,3.5,,,,1.2,,,,,
2016-12-08,8.3,15.5,2.8,0.0,8.5,,,,0.9,,,,,
2016-12-09,10.4,15.7,4.6,2.0,4.8,,,,2.2,,,,,
2016-12-10,7.1,14.0,2.3,0.0,8.1,,,,1.2,,,,,
2016-12-11,6.8,14.1,0.9,0.0,9.1,,,,1.3,,,,,
2016-12-12,8.5,13.1,3.0,9.0,0.3,,,,1.4,,,,,
2016-12-13,11.5,13.3,9.5,11.0,0.0,,,,1.5,,,,,
2016-12-14,10.3,12.7,7.5,8.5,2.0,,,,3.0,,,,,
2016-12-15,6.9,8.3,5.2,5.5,0.5,,,,4.7,,,,,
2016-12-16,4.5,7.7,-0.3,0.0,5.7,,,,3.7,,,,,
2016-12-17,5.0,11.4,-0.6,0.0,4.9,,,,1.3,,,,,
