calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-11-28,1.3,5.3,-0.5,9.0,0.0,,0,0,2.3,,,,,
2016-11-29,-0.1,1.4,-1.5,3.5,1.8,,4,9,3.3,,,,,
2016-11-30,-0.2,4.0,-5.4,0.0,3.4,,3,0,1.6,,,,,
2016-12-01,4.9,12.1,1.0,7.0,2.4,,1,0,0.9,,,,,
2016-12-02,1.6,3.2,-0.7,7.0,3.6,,2,2,2.9,,,,,
2016-12-03,3.3,10.3,-1.2,0.0,5.5,,0,0,1.0,,,,,
2016-12-04,3.9,11.2,-1.5,0.0,2.3,,0,0,1.0,,,,,
2016-12-05,4.9,9.3,1.5,1.5,2.5,,0,0,2.0,,,,,
2016-12-06,-0.9,4.2,-3.3,12.0,0.0,,10,10,1.7,,,,,
2016-12-07,-1.0,4.2,-3.0,0.5,4.7,,10,0,1.8,,,,,
2016-12-08,-2.1,1.9,-6.3,7.5,2.9,,17,15,1.0,,,,,
2016-12-09,1.3,7.4,-5.9,6.0,3.4,,11,5,0.6,,,,,
2016-12-10,-2.9,-0.1,-4.4,11.5,0.0,,31,25,0.0,,,,,
2016-12-11,-4.3,-3.2,-5.1,9.0,0.0,,53,23,1.2,,,,,
2016-12-12,-2.7,3.8,-6.4,0.0,5.4,,51,2,1.7,,,,,
2016-12-13,1.9,8.3,-2.8,4.0,2.9,,37,0,0.8,,,,,
2016-12-14,-1.2,0.9,-4.5,22.5,0.0,,31,16,,,,,,
2016-12-15,-4.8,-2.1,-9.9,1.0,0.7,,33,5,2.9,,,,,
2016-12-16,-7.1,-3.4,-12.0,9.0,0.0,,53,25,1.9,,,,,
2016-12-17,-1.5,0.8,-5.3,16.0,0.0,,75,27,2.4,,,,,
2016-12-18,2.7,5.9,-1.9,0.5,3.2,,70,1,2.5,,,,,
2016-12-19,2.4,6.6,-2.5,0.0,4.5,,51,0,1.5,,,,,
2016-12-20,1.5,7.8,-2.8,0.0,1.0,,40,1,0.8,,,,,
2016-12-21,2.9,9.1,-2.0,0.0,5.3,,36,3,1.3,,,,,
2016-12-22,4.9,10.9,-2.3,3.5,0.8,,31,5,1.4,,,,,
2016-12-23,1.6,5.0,-1.1,15.5,0.0,,31,7,1.2,,,,,
2016-12-24,-2.3,-0.6,-3.5,5.0,0.2,,41,11,,,,,,
2016-12-25,-2.1,1.8,-7.5,0.0,2.1,,36,1,1.9,,,,,
2016-12-26,0.1,8.2,-8.1,0.0,0.6,,32,1,1.0,,,,,
2016-12-27,1.7,7.6,-3.5,5.0,0.0,,32,9,1.4,,,,,
2016-12-28,-5.7,-2.2,-12.6,7.0,0.1,,50,19,2.0,,,,,
2016-12-29,-5.4,4.3,-13.4,2.5,4.5,,47,10,1.7,,,,,
2016-12-30,-4.7,-3.5,-5.7,5.5,0.0,,64,17,2.6,,,,,
2016-12-31,-0.4,2.8,-7.0,0.0,1.2,,57,0,2.3,,,,,
2017-01-01,0.6,2.3,-1.5,0.0,0.5,,46,1,2.3,,,,,
2017-01-02,2.1,5.8,-1.1,0.0,3.6,,44,1,1.9,,,,,
2017-01-03,-0.6,2.9,-1.8,6.0,0.0,,51,12,,,,,,
2017-01-04,-0.8,2.9,-3.2,7.0,0.0,,61,16,2.4,,,,,
2017-01-05,-4.5,-2.3,-6.3,7.0,0.0,,79,23,2.1,,,,,
2017-01-06,-6.3,-2.3,-13.5,0.0,2.7,,76,0,1.6,,,,,
2017-01-07,-5.6,3.3,-14.7,0.0,5.6,,65,0,1.5,,,,,
2017-01-08,-2.8,3.3,-10.3,1.0,1.2,,60,2,0.8,,,,,
2017-01-09,-0.1,2.3,-1.2,13.5,0.0,,75,23,,,,,,
2017-01-10,-0.7,3.6,-3.5,4.5,5.4,,78,14,2.7,,,,,
2017-01-11,-4.6,-2.8,-6.4,5.0,0.0,,91,16,1.9,,,,,
2017-01-12,-3.6,-1.7,-4.8,10.5,0.0,,112,22,3.1,,,,,
2017-01-13,-4.4,-1.9,-7.2,28.5,0.0,,140,34,,,,,,
2017-01-14,-8.7,-7.2,-10.7,29.5,0.0,,162,28,1.1,,,,,
2017-01-15,-9.1,-6.5,-11.1,31.0,0.0,,185,32,1.6,,,,,
2017-01-16,-6.2,-3.0,-8.0,,0.0,,222,42,,,,,,
2017-01-17,-3.5,-1.8,-5.0,,0.0,,221,1,,,,,,
2017-01-18,-2.7,2.9,-5.5,,4.9,,197,1,1.1,,,,,
2017-01-19,-4.1,-0.3,-11.7,,0.4,,180,2,2.2,,,,,
2017-01-20,-6.2,2.7,-15.6,0.0,4.4,,170,0,1.5,,,,,
2017-01-21,-4.8,-1.7,-12.0,6.0,0.0,,171,17,1.3,,,,,
2017-01-22,-5.0,1.1,-14.5,2.0,4.1,,166,7,1.8,,,,,
2017-01-23,-7.5,-4.9,-8.5,12.5,0.0,,182,20,2.8,,,,,
2017-01-24,-8.3,-7.4,-9.2,15.0,0.0,,192,15,2.8,,,,,
2017-01-25,-6.1,-4.5,-8.0,9.0,0.0,,201,19,1.7,,,,,
2017-01-26,-4.5,0.2,-9.1,0.0,4.8,,197,0,1.6,,,,,
2017-01-27,-1.0,6.4,-9.8,0.0,2.4,,174,2,2.4,,,,,
2017-01-28,-3.4,1.5,-10.0,0.5,4.3,,169,2,2.2,,,,,
2017-01-29,-1.9,5.0,-10.8,0.0,2.9,,162,0,1.0,,,,,
2017-01-30,0.2,4.8,-4.9,13.5,0.6,,170,23,2.2,,,,,
2017-01-31,-6.2,-3.9,-11.6,6.5,3.4,,182,12,2.9,,,,,
2017-02-01,-6.2,2.5,-14.5,9.5,3.7,,176,21,2.0,,,,,
2017-02-02,-6.9,-3.3,-9.1,21.0,0.0,,237,70,4.1,,,,,
2017-02-03,-3.4,-1.7,-5.3,10.0,0.3,,248,13,3.6,,,,,
2017-02-04,-3.2,1.3,-11.0,0.0,5.5,,230,0,2.9,,,,,
2017-02-05,-3.8,3.3,-12.2,0.0,0.0,,211,0,0.7,,,,,
2017-02-06,-1.8,2.7,-5.2,27.5,0.0,,250,52,,,,,,
2017-02-07,-6.4,-4.6,-7.7,11.5,0.0,,272,26,3.3,,,,,
2017-02-08,-5.1,-2.9,-8.4,2.5,0.0,,267,2,1.9,,,,,
2017-02-09,-4.9,-1.6,-10.3,0.0,0.0,,253,0,1.2,,,,,
2017-02-10,-5.7,-2.5,-8.4,11.5,0.3,,259,23,2.0,,,,,
2017-02-11,-6.3,-3.6,-8.7,9.5,0.6,,265,20,2.7,,,,,
2017-02-12,-5.1,-3.2,-6.1,24.5,0.0,,299,35,,,,,,
2017-02-13,-4.5,-2.2,-6.6,1.5,0.0,,286,5,2.0,,,,,
2017-02-14,-4.6,-2.1,-8.3,0.5,1.3,,278,4,1.4,,,,,
2017-02-15,-3.6,-1.9,-5.8,1.0,0.1,,266,6,1.9,,,,,
2017-02-16,-0.8,8.0,-9.1,0.0,6.4,,258,0,1.9,,,,,
2017-02-17,0.9,9.4,-6.0,4.0,0.3,,240,1,1.7,,,,,
2017-02-18,-3.9,-1.3,-6.7,0.5,2.6,,228,3,3.0,,,,,
2017-02-19,-6.2,-2.7,-10.5,0.5,4.1,,229,7,2.6,,,,,
2017-02-20,-0.8,5.6,-9.1,13.5,0.0,,240,25,1.5,,,,,
2017-02-21,-6.4,-4.1,-7.5,25.5,0.0,,290,52,3.1,,,,,
2017-02-22,-2.7,3.1,-11.3,0.5,5.1,,283,1,1.8,,,,,
2017-02-23,2.5,9.6,-3.5,12.5,0.8,,258,13,2.1,,,,,
2017-02-24,-5.6,-3.2,-9.4,2.0,1.6,,256,9,3.2,,,,,
2017-02-25,-4.4,0.9,-11.5,0.0,3.0,,245,0,1.4,,,,,
2017-02-26,-2.2,1.4,-6.9,0.0,3.4,,237,3,1.9,,,,,
2017-02-27,-3.4,0.7,-8.3,0.0,6.8,,229,0,2.9,,,,,
2017-02-28,-3.8,3.5,-11.0,0.0,6.8,,223,2,1.8,,,,,
2017-03-01,-1.3,5.3,-9.0,0.0,6.6,,220,2,1.7,,,,,
2017-03-02,1.0,6.6,-1.7,5.5,2.4,,217,4,1.1,,,,,
2017-03-03,-1.9,0.4,-4.6,8.0,0.2,,233,18,1.9,,,,,
2017-03-04,-1.5,5.8,-9.5,0.0,5.0,,224,0,1.8,,,,,
2017-03-05,0.4,7.2,-5.1,0.0,6.9,,213,1,1.3,,,,,
2017-03-06,0.3,7.2,-4.1,3.0,0.0,,210,3,0.9,,,,,
2017-03-07,-3.9,0.9,-6.3,2.0,3.5,,219,20,,,,,,
2017-03-08,-4.7,-2.7,-6.4,1.5,0.0,,219,5,1.8,,,,,
2017-03-09,-1.4,2.4,-4.8,0.0,5.0,,218,8,1.7,,,,,
2017-03-10,-3.1,-0.7,-5.4,3.5,0.9,,227,21,2.4,,,,,
2017-03-11,-3.8,-1.0,-9.4,2.5,2.0,,233,9,2.4,,,,,
2017-03-12,-3.9,5.0,-12.3,0.0,7.3,,216,3,1.6,,,,,
2017-03-13,0.5,6.7,-4.7,0.0,7.0,,211,0,1.8,,,,,
2017-03-14,-0.6,1.2,-2.2,0.5,0.0,,207,5,1.1,,,,,
2017-03-15,-1.2,0.4,-2.9,2.0,0.0,,212,7,1.5,,,,,
2017-03-16,-1.5,0.2,-2.9,1.0,2.5,,211,8,2.1,,,,,
2017-03-17,-2.2,-0.5,-4.8,0.5,0.6,,214,10,1.7,,,,,
2017-03-18,-0.1,3.7,-2.9,1.0,4.8,,218,9,2.3,,,,,
2017-03-19,0.3,2.6,-3.2,13.5,0.1,,222,23,1.2,,,,,
2017-03-20,0.6,5.0,-3.3,1.5,7.3,,223,7,1.1,,,,,
2017-03-21,1.0,2.8,-1.1,4.0,0.0,,211,4,0.8,,,,,
2017-03-22,-1.6,1.2,-3.7,6.5,1.5,,220,15,,,,,,
2017-03-23,-1.7,0.7,-3.4,2.5,0.1,,226,14,1.7,,,,,
2017-03-24,-3.8,-2.1,-5.1,4.5,0.1,,233,15,1.8,,,,,
2017-03-25,-2.0,1.9,-4.8,0.0,8.0,,232,1,2.4,,,,,
2017-03-26,-1.1,1.4,-5.2,1.0,0.0,,217,5,1.5,,,,,
2017-03-27,-1.0,0.1,-2.7,18.5,0.0,,238,23,,,,,,
2017-03-28,-1.1,2.0,-3.2,1.5,4.7,,240,4,1.5,,,,,
2017-03-29,-0.2,4.5,-3.4,0.5,6.0,,227,4,1.2,,,,,
2017-03-30,2.5,9.0,-3.5,1.0,8.4,,220,1,1.7,,,,,
2017-03-31,0.4,2.2,-1.2,0.0,0.0,,214,1,2.6,,,,,
2017-04-01,0.6,3.8,-1.8,0.0,4.7,,213,0,2.2,,,,,
2017-04-02,-0.7,3.6,-3.9,0.0,8.5,,209,1,1.9,,,,,
2017-04-03,-0.1,6.7,-5.4,4.0,6.6,,210,9,1.5,,,,,
2017-04-04,2.6,7.8,-2.1,1.0,8.3,,210,3,1.4,,,,,
2017-04-05,4.3,13.1,-2.5,0.0,8.6,,198,3,1.1,,,,,
2017-04-06,5.7,13.3,-0.3,0.0,4.6,,191,4,1.3,,,,,
2017-04-07,5.2,11.8,1.6,8.5,1.7,,186,3,1.2,,,,,
2017-04-08,5.4,13.4,1.4,0.0,3.3,,179,1,0.6,,,,,
2017-04-09,3.1,6.5,0.0,10.0,0.0,,171,1,1.8,,,,,
2017-04-10,2.5,9.1,-2.6,0.0,7.5,,167,3,2.1,,,,,
2017-04-11,2.5,6.1,-1.4,9.0,0.0,,163,3,1.3,,,,,
2017-04-12,2.1,6.6,-1.4,9.0,0.4,,161,3,3.0,,,,,
2017-04-13,0.6,3.4,-2.4,0.0,2.6,,157,3,2.3,,,,,
2017-04-14,5.1,13.5,-2.5,0.0,8.5,,156,1,1.4,,,,,
2017-04-15,5.8,13.2,1.4,0.5,4.2,,150,2,1.2,,,,,
2017-04-16,7.2,15.8,0.7,0.0,8.6,,145,1,1.4,,,,,
2017-04-17,6.9,17.0,1.9,6.5,4.0,,137,2,1.2,,,,,
2017-04-18,6.7,14.0,2.5,5.5,6.3,,130,3,2.0,,,,,
2017-04-19,3.5,7.5,0.5,16.5,0.9,,122,6,2.5,,,,,
2017-04-20,5.5,12.0,1.0,0.0,4.1,,122,1,2.0,,,,,
2017-04-21,6.3,12.1,2.2,0.0,3.1,,116,3,1.2,,,,,
2017-04-22,4.4,7.9,0.2,0.0,5.7,,111,3,2.2,,,,,
2017-04-23,2.8,6.5,-0.2,0.0,7.4,,106,3,1.8,,,,,
2017-04-24,6.2,14.8,-0.8,0.0,9.3,,100,3,1.6,,,,,
2017-04-25,7.9,16.4,0.3,0.0,9.4,,93,5,1.6,,,,,
2017-04-26,6.7,14.5,3.1,2.5,0.4,,85,3,0.9,,,,,
2017-04-27,4.2,7.4,1.0,0.5,5.4,,80,2,1.8,,,,,
2017-04-28,4.6,10.9,-1.4,0.0,9.6,,72,2,1.4,,,,,
2017-04-29,5.5,13.9,0.4,3.5,6.6,,65,2,1.5,,,,,
2017-04-30,8.8,19.2,0.8,0.0,9.7,,58,4,1.7,,,,,
2017-05-01,5.8,11.1,2.5,14.0,0.0,,49,0,1.1,,,,,
2017-05-02,5.6,10.9,0.6,0.0,9.5,,45,0,2.1,,,,,
2017-05-03,9.3,19.4,0.6,0.0,9.6,,38,0,1.5,,,,,
2017-05-04,10.7,22.0,2.8,0.0,9.7,,29,0,1.4,,,,,
2017-05-05,10.4,19.4,2.6,0.0,9.5,,18,0,1.4,,,,,
2017-05-06,10.7,19.9,4.3,1.0,1.8,,0,0,1.4,,,,,
2017-05-07,7.9,14.0,3.0,0.0,8.0,,0,0,2.3,,,,,
2017-05-08,10.3,17.8,2.8,0.0,10.1,,0,0,2.8,,,,,
2017-05-09,11.2,18.5,4.6,0.0,2.6,,0,0,1.8,,,,,
2017-05-10,11.1,18.5,5.5,2.5,5.4,,0,0,2.3,,,,,
2017-05-11,10.3,13.4,7.0,5.5,0.2,,0,0,2.8,,,,,
2017-05-12,12.3,20.2,7.2,5.0,4.6,,0,0,1.4,,,,,
2017-05-13,8.8,11.5,6.7,5.5,0.0,,0,0,1.2,,,,,
2017-05-14,12.0,18.8,6.7,0.5,6.6,,0,0,2.4,,,,,
2017-05-15,11.5,18.0,5.7,0.0,4.4,,0,0,1.8,,,,,
2017-05-16,9.4,13.8,5.2,0.0,4.6,,0,0,1.7,,,,,
2017-05-17,9.5,13.2,5.7,0.0,0.6,,0,0,1.3,,,,,
2017-05-18,8.8,15.4,4.9,2.0,0.1,,0,0,0.9,,,,,
2017-05-19,12.0,21.5,3.5,0.0,10.2,,0,0,1.3,,,,,
2017-05-20,14.4,22.9,5.5,0.0,10.2,,0,0,1.8,,,,,
2017-05-21,17.1,28.0,7.1,0.0,10.2,,0,0,2.0,,,,,
2017-05-22,16.2,26.1,9.8,2.0,9.1,,0,0,1.6,,,,,
2017-05-23,16.9,25.5,7.8,0.0,8.1,,0,0,2.2,,,,,
2017-05-24,13.4,18.4,10.1,2.5,0.3,,0,0,1.7,,,,,
2017-05-25,11.1,13.9,8.0,9.5,0.1,,0,0,0.8,,,,,
2017-05-26,11.6,16.5,7.9,11.5,0.1,,0,0,0.9,,,,,
2017-05-27,10.1,12.0,8.3,4.0,1.0,,0,0,1.4,,,,,
2017-05-28,10.5,15.4,4.8,0.0,7.7,,0,0,2.0,,,,,
2017-05-29,13.9,24.8,3.5,0.0,9.9,,0,0,1.1,,,,,
2017-05-30,17.0,26.7,8.3,0.0,10.0,,0,0,1.6,,,,,
2017-05-31,17.4,26.2,10.8,0.0,4.3,,0,0,1.6,,,,,
