calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-18,9.5,13.9,4.5,0.0,8.8,,,,2.5,,,,,
2016-12-19,11.0,15.4,5.2,0.0,8.5,,,,2.1,,,,,
2016-12-20,11.3,13.8,7.8,0.0,0.1,,,,1.2,,,,,
2016-12-21,10.6,16.9,5.6,0.0,8.0,,,,1.1,,,,,
2016-12-22,15.0,18.5,8.8,39.5,0.0,,,,2.2,,,,,
2016-12-23,11.1,15.8,6.8,0.0,3.0,,,,2.7,,,,,
2016-12-24,7.7,11.7,5.2,0.0,8.3,,,,2.2,,,,,
2016-12-25,8.3,12.5,5.1,0.0,9.0,,,,2.2,,,,,
2016-12-26,8.5,13.6,4.2,1.0,2.3,,,,0.8,,,,,
2016-12-27,11.1,15.1,6.6,21.5,2.1,,,,2.1,,,,,
2016-12-28,5.0,9.4,1.2,0.0,9.2,,,,2.2,,,,,
2016-12-29,5.8,9.5,1.1,0.0,6.9,,,,2.1,,,,,
2016-12-30,5.3,10.3,1.8,0.0,9.3,,,,2.2,,,,,
2016-12-31,6.7,11.4,1.3,0.0,9.3,,,,2.9,,,,,
2017-01-01,8.2,13.0,5.6,0.0,9.3,,,,2.6,,,,,
2017-01-02,8.9,13.3,4.1,0.0,8.8,,,,1.7,,,,,
2017-01-03,8.9,13.1,5.7,0.0,4.7,,,,2.0,,,,,
2017-01-04,8.1,12.1,4.2,0.0,6.2,,,,2.2,,,,,
2017-01-05,5.9,10.7,3.3,0.0,9.3,,,,2.3,,,,,
2017-01-06,4.3,8.6,2.0,0.0,1.3,,,,2.4,,,,,
2017-01-07,5.8,12.5,0.3,0.0,8.3,,,,1.1,,,,,
2017-01-08,5.9,8.8,3.7,19.0,0.0,,,,1.6,,,,,
2017-01-09,8.5,13.5,5.4,0.0,6.3,,,,2.7,,,,,
2017-01-10,8.4,12.4,5.1,0.0,6.9,,,,2.2,,,,,
2017-01-11,5.4,7.9,3.4,0.0,3.1,,,,1.8,,,,,
2017-01-12,5.1,8.4,2.1,0.0,2.6,,,,2.2,,,,,
2017-01-13,4.9,9.6,1.9,0.0,2.6,,,,2.4,,,,,
2017-01-14,0.3,3.5,-2.2,10.5,0.3,,,,2.3,,,,,
2017-01-15,-0.4,2.9,-3.3,2.0,4.4,,,,2.2,,,,,
2017-01-16,1.7,4.8,-0.3,0.0,4.5,,,,2.7,,,,,
2017-01-17,4.0,9.7,-0.5,0.0,7.3,,,,1.9,,,,,
2017-01-18,5.6,10.6,0.7,0.0,9.0,,,,2.3,,,,,
2017-01-19,6.2,10.6,1.9,0.0,3.9,,,,2.2,,,,,
2017-01-20,4.5,8.7,0.1,0.5,1.9,,,,1.7,,,,,
2017-01-21,4.9,9.2,2.6,0.0,9.3,,,,2.6,,,,,
2017-01-22,4.9,10.2,0.9,1.0,3.4,,,,1.9,,,,,
2017-01-23,2.0,6.0,-0.7,0.0,6.0,,,,2.9,,,,,
2017-01-24,1.0,5.0,-2.2,0.0,8.0,,,,2.4,,,,,
2017-01-25,2.7,7.9,-1.3,0.0,9.7,,,,2.8,,,,,
2017-01-26,4.1,9.5,0.6,0.0,9.9,,,,2.5,,,,,
2017-01-27,6.9,12.9,0.4,0.0,4.0,,,,1.2,,,,,
2017-01-28,7.2,12.9,2.8,0.0,9.3,,,,2.3,,,,,
2017-01-29,6.9,12.7,1.7,1.0,5.8,,,,0.9,,,,,
2017-01-30,7.9,12.6,4.5,4.0,3.3,,,,2.1,,,,,
2017-01-31,4.2,8.1,1.2,0.0,9.9,,,,2.9,,,,,
2017-02-01,4.7,8.9,0.2,0.0,6.7,,,,3.0,,,,,
2017-02-02,4.1,8.4,0.6,0.0,8.8,,,,2.7,,,,,
2017-02-03,6.2,12.1,2.3,0.0,10.0,,,,2.4,,,,,
2017-02-04,6.9,13.3,0.2,0.0,10.0,,,,2.2,,,,,
2017-02-05,5.2,9.5,2.6,12.0,0.0,,,,0.9,,,,,
2017-02-06,6.6,10.3,2.1,1.5,4.0,,,,3.2,,,,,
2017-02-07,3.3,7.5,0.6,0.0,8.3,,,,2.7,,,,,
2017-02-08,4.3,9.0,-0.1,0.0,8.6,,,,2.2,,,,,
2017-02-09,3.6,5.2,2.2,1.5,0.0,,,,1.2,,,,,
2017-02-10,3.2,8.4,0.0,0.0,8.3,,,,3.1,,,,,
2017-02-11,1.7,6.7,-0.5,0.5,3.8,,,,1.9,,,,,
2017-02-12,2.6,7.9,-0.3,0.0,8.3,,,,2.3,,,,,
2017-02-13,4.0,9.6,0.1,0.0,9.7,,,,2.5,,,,,
2017-02-14,4.1,8.3,0.6,0.0,8.4,,,,2.3,,,,,
2017-02-15,5.2,10.4,0.5,0.0,10.4,,,,2.9,,,,,
2017-02-16,8.0,14.3,1.5,0.0,10.0,,,,1.9,,,,,
2017-02-17,9.1,13.4,5.1,0.5,0.1,,,,1.2,,,,,
2017-02-18,8.0,11.7,4.8,0.0,7.5,,,,2.3,,,,,
2017-02-19,5.5,10.2,1.5,0.0,10.4,,,,2.4,,,,,
2017-02-20,8.0,15.3,3.7,8.5,1.1,,,,1.9,,,,,
2017-02-21,3.8,7.5,1.1,0.0,9.9,,,,3.2,,,,,
2017-02-22,6.0,12.0,-0.5,1.0,5.8,,,,2.0,,,,,
2017-02-23,11.1,14.7,6.7,18.5,0.4,,,,2.7,,,,,
2017-02-24,5.7,9.8,2.9,0.0,10.2,,,,2.9,,,,,
2017-02-25,6.1,11.2,1.0,0.0,10.5,,,,2.4,,,,,
2017-02-26,7.6,12.6,3.5,0.0,8.7,,,,2.5,,,,,
2017-02-27,7.1,12.9,3.2,0.0,9.9,,,,3.3,,,,,
2017-02-28,6.8,12.6,3.3,0.0,6.7,,,,1.6,,,,,
2017-03-01,6.7,12.8,2.1,6.0,4.3,,,,1.1,,,,,
2017-03-02,6.8,9.5,5.7,11.5,1.0,,,,1.0,,,,,
2017-03-03,7.4,11.5,4.5,0.0,10.8,,,,2.9,,,,,
2017-03-04,8.8,14.9,4.2,0.0,9.3,,,,2.3,,,,,
2017-03-05,9.8,15.8,3.4,0.0,6.8,,,,1.2,,,,,
2017-03-06,9.1,10.8,6.0,1.5,0.0,,,,1.1,,,,,
2017-03-07,5.1,9.4,1.0,0.0,6.3,,,,2.4,,,,,
2017-03-08,4.2,8.9,0.2,0.0,6.1,,,,1.9,,,,,
2017-03-09,5.7,11.5,-0.3,0.0,8.9,,,,2.2,,,,,
2017-03-10,6.8,11.4,3.5,0.0,6.6,,,,2.2,,,,,
2017-03-11,7.0,13.2,1.8,0.0,11.2,,,,2.6,,,,,
2017-03-12,7.3,13.3,1.6,0.0,8.6,,,,1.6,,,,,
2017-03-13,9.6,14.8,6.1,0.0,3.2,,,,1.2,,,,,
2017-03-14,9.3,14.3,5.2,0.0,7.3,,,,2.8,,,,,
2017-03-15,6.9,11.1,3.1,0.0,6.0,,,,2.5,,,,,
2017-03-16,8.0,13.1,4.1,0.0,11.2,,,,3.1,,,,,
2017-03-17,8.3,14.4,3.9,0.0,11.3,,,,3.4,,,,,
2017-03-18,9.1,15.3,3.4,0.0,7.2,,,,2.1,,,,,
2017-03-19,11.2,17.2,5.3,0.0,10.6,,,,2.5,,,,,
2017-03-20,11.6,16.5,6.6,0.5,9.0,,,,2.7,,,,,
2017-03-21,8.6,10.4,6.5,37.0,0.0,,,,2.5,,,,,
2017-03-22,8.5,13.7,4.2,0.0,11.1,,,,2.9,,,,,
2017-03-23,8.9,14.4,4.0,0.0,4.9,,,,2.3,,,,,
2017-03-24,7.9,12.2,4.6,0.0,11.1,,,,2.7,,,,,
2017-03-25,7.6,12.3,3.5,0.0,2.2,,,,2.3,,,,,
2017-03-26,7.7,10.0,5.9,27.5,0.0,,,,1.3,,,,,
2017-03-27,8.7,13.8,5.0,3.0,10.6,,,,3.5,,,,,
2017-03-28,9.2,14.9,4.5,0.0,9.8,,,,2.6,,,,,
2017-03-29,9.8,15.3,5.3,0.0,9.5,,,,2.2,,,,,
2017-03-30,13.0,19.4,6.5,0.0,9.8,,,,1.6,,,,,
2017-03-31,8.5,12.9,5.8,22.0,0.0,,,,1.6,,,,,
2017-04-01,6.9,9.3,5.4,4.5,0.1,,,,1.1,,,,,
2017-04-02,8.8,14.2,4.3,0.0,10.0,,,,1.6,,,,,
2017-04-03,10.9,16.8,5.3,0.0,11.0,,,,2.7,,,,,
2017-04-04,11.9,18.2,6.7,0.0,11.7,,,,2.2,,,,,
2017-04-05,13.5,18.5,8.6,0.0,6.6,,,,1.6,,,,,
2017-04-06,15.1,18.5,12.8,11.5,0.7,,,,2.4,,,,,
2017-04-07,15.9,17.7,14.4,47.5,0.0,,,,1.3,,,,,
2017-04-08,17.2,18.0,16.6,16.0,0.0,,,,1.0,,,,,
2017-04-09,16.3,19.5,12.4,4.0,3.5,,,,2.4,,,,,
2017-04-10,11.7,14.6,8.8,0.0,0.0,,,,2.5,,,,,
2017-04-11,11.6,14.7,9.8,14.0,0.0,,,,3.9,,,,,
2017-04-12,13.6,18.6,9.0,0.0,9.8,,,,3.3,,,,,
2017-04-13,12.5,18.1,6.8,0.0,11.7,,,,2.9,,,,,
2017-04-14,14.0,20.4,7.1,0.0,11.6,,,,1.5,,,,,
2017-04-15,16.3,22.1,11.6,1.5,7.8,,,,1.6,,,,,
2017-04-16,17.8,24.9,11.8,0.0,11.6,,,,1.6,,,,,
2017-04-17,16.1,20.1,13.4,55.0,1.6,,,,3.3,,,,,
2017-04-18,17.8,20.9,14.3,13.5,8.5,,,,2.5,,,,,
2017-04-19,14.7,20.1,11.1,0.0,7.7,,,,2.0,,,,,
2017-04-20,13.9,18.7,9.6,0.0,5.1,,,,2.1,,,,,
2017-04-21,15.1,18.6,12.2,0.0,0.2,,,,1.4,,,,,
2017-04-22,15.3,21.2,10.2,0.0,8.8,,,,3.2,,,,,
2017-04-23,14.0,19.1,10.1,0.0,11.6,,,,2.9,,,,,
2017-04-24,15.3,20.0,12.0,0.0,7.8,,,,2.7,,,,,
2017-04-25,16.2,20.4,13.5,0.0,8.7,,,,2.6,,,,,
2017-04-26,16.1,18.4,13.4,2.0,0.0,,,,1.9,,,,,
2017-04-27,15.1,20.1,12.3,0.5,7.2,,,,2.8,,,,,
2017-04-28,15.3,21.4,9.7,0.0,11.7,,,,2.3,,,,,
2017-04-29,15.2,23.5,10.1,0.0,10.7,,,,1.7,,,,,
2017-04-30,17.2,23.4,10.5,0.0,11.9,,,,1.5,,,,,
2017-05-01,18.2,24.9,13.4,0.0,9.5,,,,1.7,,,,,
2017-05-02,16.2,21.0,9.9,0.0,11.9,,,,2.4,,,,,
2017-05-03,17.2,21.6,14.0,0.0,7.9,,,,2.3,,,,,
2017-05-04,17.7,22.2,14.4,0.0,2.8,,,,3.0,,,,,
2017-05-05,19.3,26.0,14.4,0.0,12.2,,,,1.7,,,,,
2017-05-06,19.3,24.9,15.2,0.0,1.2,,,,1.1,,,,,
2017-05-07,19.5,24.3,15.9,0.0,7.8,,,,2.4,,,,,
2017-05-08,21.9,28.0,13.5,0.0,11.8,,,,2.3,,,,,
2017-05-09,19.3,23.0,14.8,1.5,0.0,,,,2.0,,,,,
2017-05-10,16.8,20.9,13.6,19.5,0.2,,,,1.8,,,,,
2017-05-11,20.1,25.3,15.7,0.0,10.0,,,,2.6,,,,,
2017-05-12,21.4,27.2,15.9,0.0,5.3,,,,1.7,,,,,
2017-05-13,17.0,19.8,15.3,16.5,0.0,,,,2.8,,,,,
2017-05-14,19.4,24.1,15.4,0.0,8.9,,,,2.5,,,,,
2017-05-15,19.5,24.0,16.8,0.0,2.8,,,,2.3,,,,,
2017-05-16,17.7,22.1,15.0,0.0,5.3,,,,2.6,,,,,
2017-05-17,17.6,21.3,13.4,0.0,3.2,,,,1.6,,,,,
2017-05-18,19.1,25.3,15.0,0.0,10.8,,,,2.2,,,,,
2017-05-19,20.1,27.5,15.4,0.0,11.4,,,,2.1,,,,,
2017-05-20,21.7,30.0,15.4,0.0,12.1,,,,1.6,,,,,
2017-05-21,22.0,28.3,17.2,0.0,11.0,,,,1.7,,,,,
2017-05-22,21.6,26.2,18.4,0.0,11.9,,,,2.3,,,,,
2017-05-23,21.3,26.1,17.5,0.0,11.3,,,,2.2,,,,,
2017-05-24,20.8,25.2,17.5,0.0,0.6,,,,1.4,,,,,
2017-05-25,18.9,20.3,17.6,12.0,0.0,,,,1.2,,,,,
2017-05-26,19.2,22.7,15.9,18.0,0.0,,,,2.1,,,,,
2017-05-27,18.7,24.3,14.5,0.0,12.0,,,,3.1,,,,,
2017-05-28,20.2,26.0,14.2,0.0,12.1,,,,2.4,,,,,
2017-05-29,20.6,27.0,15.4,0.0,12.2,,,,1.6,,,,,
2017-05-30,23.1,31.7,17.3,0.0,8.5,,,,1.6,,,,,
2017-05-31,22.6,26.9,20.1,0.0,2.7,,,,2.7,,,,,
