calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-04-29,14.6,19.6,10.2,0.0,7.6,22.21,,,3.8,8.9,997.2,55,1000.5,
2016-04-30,14.7,21.7,6.0,,11.4,25.71,,,3.0,8.4,1008.7,53,1011.9,
2016-05-01,16.2,24.4,9.2,,10.3,24.38,,,2.3,12.6,1009.9,70,1013.2,
2016-05-02,15.2,20.0,10.5,,2.8,17.00,,,2.4,13.4,1017.8,78,1021.1,
2016-05-03,19.8,25.8,13.8,,6.4,21.35,,,4.1,16.3,1013.9,72,1017.1,
2016-05-04,20.8,25.6,14.0,16.0,8.6,22.36,,,5.3,15.6,1000.7,66,1003.8,
2016-05-05,19.1,27.7,10.6,,13.0,28.02,,,2.3,10.5,1006.6,53,1009.8,
2016-05-06,17.1,22.7,11.0,2.5,2.9,13.26,,,2.7,13.7,1013.8,70,1017.0,
2016-05-07,20.6,24.6,16.3,0.0,11.5,25.55,,,3.9,15.9,1003.7,65,1006.9,
2016-05-08,19.2,25.6,12.0,,11.0,26.14,,,2.4,11.1,1012.6,54,1015.9,
2016-05-09,18.1,21.9,15.3,8.5,2.1,12.28,,,2.9,15.8,1014.1,78,1017.4,
2016-05-10,17.4,21.8,15.0,15.0,0.0,7.12,,,2.3,18.6,1004.6,93,1007.8,
2016-05-11,20.3,25.5,14.8,4.5,0.8,9.47,,,4.4,20.7,997.1,87,1000.2,
2016-05-12,19.7,26.4,13.6,,13.1,29.12,,,2.2,15.4,1010.4,70,1013.6,
2016-05-13,19.7,26.8,12.4,,9.8,26.52,,,1.9,15.0,1015.9,70,1019.2,
2016-05-14,17.4,21.8,12.6,,9.3,23.74,,,3.0,13.5,1019.9,69,1023.2,
2016-05-15,15.7,20.7,12.1,,11.5,27.42,,,2.6,12.7,1019.0,72,1022.3,
2016-05-16,18.4,23.5,11.8,,1.8,14.71,,,3.0,14.8,1011.7,71,1014.9,
2016-05-17,17.4,20.4,11.8,23.0,0.0,2.96,,,2.3,18.9,1008.8,95,1012.0,
2016-05-18,17.0,24.6,11.0,,12.2,29.83,,,1.9,12.1,1015.0,66,1018.3,
2016-05-19,17.0,23.1,9.4,,12.0,28.11,,,3.1,11.4,1018.0,62,1021.3,
2016-05-20,15.8,18.8,11.1,,2.3,15.87,,,2.3,12.5,1017.7,70,1021.0,
2016-05-21,16.5,23.5,9.1,0.0,9.7,25.98,,,2.0,14.4,1014.1,79,1017.4,
2016-05-22,19.2,28.4,12.7,,12.8,28.05,,,2.2,15.4,1013.5,72,1016.8,
2016-05-23,21.5,30.5,11.4,,12.5,26.23,,,1.9,14.0,1011.0,58,1014.2,
2016-05-24,22.4,30.2,12.5,,8.6,23.18,,,2.8,12.0,1010.2,49,1013.4,
2016-05-25,22.0,24.2,20.0,0.0,0.5,10.49,,,4.3,18.8,1010.6,71,1013.8,
2016-05-26,22.9,27.0,19.8,,2.0,15.68,,,4.0,21.1,1008.3,76,1011.5,
2016-05-27,18.2,22.2,12.5,14.5,0.0,5.96,,,2.5,19.6,1005.9,93,1009.2,
2016-05-28,17.8,23.0,13.0,,0.4,13.20,,,1.3,17.3,1005.6,86,1008.8,
2016-05-29,21.0,28.0,12.9,,9.6,26.05,,,2.0,17.5,1004.9,73,1008.1,
2016-05-30,17.1,20.2,15.4,9.0,0.0,7.74,,,1.8,18.0,1004.3,92,1007.5,
2016-05-31,20.1,25.3,15.0,0.5,4.8,19.68,,,2.1,18.8,1001.4,81,1004.6,
2016-06-01,21.0,26.9,14.8,,9.1,24.84,,,2.1,14.2,997.2,61,1000.3,
2016-06-02,18.4,24.6,11.5,,10.4,25.07,,,1.9,9.7,1001.5,48,1004.7,
2016-06-03,17.5,24.6,7.9,,13.2,29.28,,,2.4,11.3,1009.9,59,1013.1,
2016-06-04,20.5,26.1,13.5,0.0,8.7,23.49,,,3.4,17.1,1009.2,73,1012.4,
2016-06-05,19.8,23.6,15.8,0.5,4.8,17.08,,,2.3,17.4,1008.1,76,1011.3,
2016-06-06,18.6,21.7,16.3,,1.7,14.30,,,2.6,16.9,1013.3,79,1016.5,
2016-06-07,19.3,20.9,17.4,0.0,0.0,5.39,,,1.7,18.0,1012.4,80,1015.6,
2016-06-08,21.2,25.2,17.4,0.0,1.6,14.41,,,2.0,19.0,1010.9,77,1014.1,
2016-06-09,21.2,24.3,19.0,12.0,0.2,8.09,,,1.5,23.7,1007.7,94,1010.9,
2016-06-10,22.7,27.6,18.3,,12.1,29.22,,,2.1,19.9,1010.2,73,1013.4,
2016-06-11,22.8,29.9,15.6,,11.2,27.62,,,2.4,18.4,1012.5,70,1015.7,
2016-06-12,22.8,27.7,17.8,0.0,6.3,19.85,,,2.4,21.5,1009.4,79,1012.5,
2016-06-13,19.4,21.7,17.2,42.5,0.0,5.18,,,3.8,21.1,997.8,93,1001.0,
2016-06-14,20.8,25.3,15.9,,8.6,22.69,,,2.6,18.3,1000.7,75,1003.9,
2016-06-15,19.0,20.2,17.3,0.0,0.0,5.87,,,2.3,19.3,1007.5,88,1010.7,
2016-06-16,21.4,23.9,18.8,1.0,0.0,7.50,,,2.3,22.3,1003.7,88,1006.9,
2016-06-17,24.0,30.0,19.1,1.5,8.3,25.81,,,2.2,23.3,1000.4,80,1003.5,
2016-06-18,24.6,31.6,17.8,,10.0,26.61,,,1.4,20.8,1009.6,72,1012.8,
2016-06-19,23.9,28.9,19.2,2.0,5.2,17.66,,,2.7,21.8,1010.8,75,1014.0,
2016-06-20,23.6,29.5,20.1,11.0,6.6,22.80,,,1.9,24.2,1004.0,84,1007.1,
2016-06-21,22.2,25.7,19.7,2.0,3.0,11.31,,,1.6,23.5,1004.6,88,1007.8,
2016-06-22,21.5,23.4,18.9,0.5,0.0,5.70,,,1.9,23.5,1006.2,92,1009.4,
2016-06-23,22.2,26.5,19.3,9.0,1.5,8.12,,,1.9,24.8,1000.3,93,1003.5,
2016-06-24,21.7,24.0,19.4,2.5,0.2,10.25,,,2.1,22.7,1003.9,88,1007.0,
2016-06-25,24.0,26.4,21.5,3.0,0.0,6.40,,,2.2,27.2,996.0,91,999.1,
2016-06-26,24.0,28.9,20.2,0.0,7.1,20.79,,,1.8,21.4,1002.1,73,1005.3,
2016-06-27,23.0,27.7,17.3,,10.0,26.06,,,2.2,20.0,1010.8,73,1013.9,
2016-06-28,19.0,21.4,16.8,18.5,0.0,4.05,,,1.6,20.9,1009.7,95,1012.9,
2016-06-29,21.2,24.7,18.9,0.0,0.3,11.05,,,1.8,21.6,1012.0,86,1015.2,
2016-06-30,22.8,27.4,20.0,,0.8,13.14,,,1.6,23.6,1009.8,85,1013.0,
2016-07-01,24.7,29.3,20.5,,5.0,18.47,,,1.7,25.4,1010.1,82,1013.3,
2016-07-02,25.6,30.3,21.9,,2.6,14.62,,,2.0,26.9,1007.4,82,1010.5,
2016-07-03,28.1,34.6,23.0,0.0,5.8,21.07,,,2.1,28.4,1003.8,76,1006.9,
2016-07-04,26.2,31.4,21.8,4.5,7.4,23.11,,,2.2,25.8,1008.5,78,1011.6,
2016-07-05,20.2,23.5,19.1,0.0,0.0,6.35,,,3.0,19.7,1016.5,83,1019.7,
2016-07-06,21.9,26.2,18.4,0.0,0.1,8.21,,,1.7,22.7,1013.2,86,1016.4,
2016-07-07,24.0,32.2,20.1,0.0,9.9,25.37,,,2.8,24.3,1010.0,82,1013.2,
2016-07-08,24.6,29.1,20.3,0.0,1.8,16.43,,,1.4,24.5,1010.7,79,1013.8,
2016-07-09,22.7,24.3,20.5,4.5,0.0,6.36,,,2.2,25.5,1004.9,92,1008.1,
2016-07-10,25.1,31.9,18.9,,12.2,26.44,,,2.1,24.0,1001.1,78,1004.2,
2016-07-11,26.5,32.1,20.9,,9.4,21.86,,,2.0,25.1,1001.7,75,1004.8,
2016-07-12,25.3,29.0,22.8,,7.7,24.46,,,2.6,25.5,1003.0,80,1006.1,
2016-07-13,24.9,26.8,22.7,6.0,0.0,8.11,,,1.2,28.4,999.1,91,1002.2,
2016-07-14,25.0,31.8,20.6,69.0,3.1,16.11,,,1.7,27.6,993.6,88,996.7,
2016-07-15,21.6,22.8,20.4,2.0,0.1,5.78,,,2.6,23.5,997.0,91,1000.1,
2016-07-16,23.0,26.3,18.1,,2.8,15.83,,,2.0,22.3,1004.4,80,1007.5,
2016-07-17,25.4,28.4,22.0,0.0,0.3,9.53,,,1.6,27.8,1004.0,86,1007.1,
2016-07-18,27.0,31.5,23.8,0.0,8.6,23.59,,,2.2,28.0,1004.1,80,1007.2,
2016-07-19,26.7,31.2,21.8,0.0,10.5,27.06,,,2.0,25.0,1006.4,73,1009.5,
2016-07-20,24.8,28.6,21.7,0.5,7.0,22.16,,,2.9,24.3,1009.0,78,1012.1,
2016-07-21,21.4,22.3,20.8,6.5,0.0,4.89,,,2.1,23.9,1010.4,94,1013.6,
2016-07-22,21.3,23.4,19.8,0.0,0.0,8.12,,,2.7,20.1,1010.9,80,1014.1,
2016-07-23,21.1,25.1,17.5,,1.7,13.41,,,2.1,18.5,1012.1,74,1015.3,
2016-07-24,22.1,27.2,16.3,,8.5,22.02,,,2.2,20.9,1012.6,80,1015.7,
2016-07-25,23.5,28.1,18.5,0.0,4.1,17.43,,,1.7,22.9,1011.6,80,1014.8,
2016-07-26,23.0,25.0,21.2,1.5,0.0,5.57,,,1.5,25.1,1008.7,89,1011.9,
2016-07-27,24.4,27.4,22.0,1.0,0.1,10.33,,,2.4,25.2,1007.9,83,1011.1,
2016-07-28,26.4,31.4,22.3,0.0,7.4,20.69,,,2.4,25.9,1009.7,77,1012.9,
2016-07-29,26.5,32.4,21.2,,11.3,25.35,,,2.2,25.2,1010.9,75,1014.0,
2016-07-30,26.1,31.4,20.4,,11.0,23.50,,,1.9,25.9,1010.8,78,1013.9,
2016-07-31,26.3,30.4,22.0,0.0,7.7,20.04,,,2.8,27.6,1009.0,81,1012.1,
2016-08-01,26.7,31.2,23.7,0.0,5.9,19.57,,,2.4,28.0,1006.0,80,1009.1,
2016-08-02,25.8,29.8,23.4,4.5,3.0,14.98,,,2.1,28.6,1005.3,86,1008.4,
2016-08-03,26.2,30.8,23.4,7.5,3.2,15.18,,,1.7,29.5,1005.9,87,1009.0,
2016-08-04,27.3,32.2,22.7,0.0,7.3,17.43,,,1.7,29.2,1006.5,82,1009.6,
2016-08-05,28.4,34.0,23.4,0.0,11.3,24.09,,,2.2,28.8,1007.2,76,1010.3,
2016-08-06,28.2,33.8,23.2,,11.1,24.21,,,1.9,29.3,1006.9,78,1010.0,
2016-08-07,27.4,31.7,23.4,,12.6,26.48,,,2.6,27.3,1007.2,76,1010.3,
2016-08-08,27.5,31.4,23.0,0.0,4.2,15.54,,,3.4,25.7,999.8,71,1002.9,
2016-08-09,29.6,36.0,23.2,0.0,9.5,22.05,,,2.5,24.9,997.9,62,1001.0,
2016-08-10,27.3,31.0,24.5,,9.7,23.17,,,2.9,24.4,1005.1,68,1008.2,
2016-08-11,25.5,28.7,22.6,,3.1,17.46,,,2.3,23.4,1007.2,72,1010.3,
2016-08-12,25.3,30.8,21.6,,9.1,23.44,,,2.1,22.7,1007.3,72,1010.5,
2016-08-13,24.7,29.9,22.0,0.0,5.5,19.09,,,2.3,22.4,1005.9,72,1009.1,
2016-08-14,24.2,28.8,21.2,0.0,5.1,19.43,,,2.1,21.5,1003.1,72,1006.2,
2016-08-15,26.4,30.2,21.9,0.0,1.3,11.03,,,2.3,25.3,1000.7,74,1003.8,
2016-08-16,26.4,31.9,22.3,25.0,5.1,17.00,,,3.0,28.4,999.3,84,1002.4,
2016-08-17,28.4,34.0,23.1,72.0,8.9,22.76,,,4.9,29.8,994.8,78,997.9,
2016-08-18,26.3,30.7,24.3,32.5,0.6,8.58,,,2.1,30.8,1003.6,90,1006.7,
2016-08-19,26.5,30.5,24.3,1.0,5.5,20.40,,,3.0,28.8,1005.2,84,1008.3,
2016-08-20,25.9,29.7,24.2,21.0,2.9,12.61,,,2.4,30.3,1002.9,91,1006.0,
2016-08-21,27.5,32.4,22.8,0.0,7.5,18.95,,,2.4,30.0,1003.2,83,1006.3,
2016-08-22,25.9,27.3,23.0,108.5,0.0,2.71,,,4.8,31.1,996.4,93,999.5,
2016-08-23,26.5,30.9,22.2,7.5,3.4,14.63,,,2.4,30.0,1002.2,87,1005.3,
2016-08-24,25.1,29.7,21.0,0.0,6.8,18.34,,,1.9,27.8,1006.0,88,1009.1,
2016-08-25,26.9,32.2,23.0,,7.5,17.06,,,2.0,28.0,1005.5,80,1008.6,
2016-08-26,27.1,33.2,21.8,,11.2,24.23,,,2.0,27.8,1002.0,79,1005.1,
2016-08-27,23.0,25.2,19.9,1.0,0.0,6.67,,,2.9,24.3,1002.8,86,1006.0,
2016-08-28,22.2,25.3,19.3,2.5,0.0,6.78,,,2.4,23.2,1000.9,87,1004.0,
2016-08-29,25.9,29.6,22.2,1.5,3.1,14.40,,,3.4,29.4,990.8,88,993.9,
2016-08-30,25.3,28.0,23.1,14.0,0.1,8.19,,,4.2,26.9,982.4,83,985.5,
2016-08-31,25.4,31.1,17.8,,12.3,23.87,,,3.9,22.0,997.2,70,1000.3,
2016-09-01,25.6,31.3,19.6,,11.1,21.90,,,2.0,22.4,1005.5,70,1008.6,
2016-09-02,25.3,29.4,20.4,,10.8,21.92,,,2.4,25.6,1010.2,80,1013.3,
2016-09-03,25.9,30.6,22.0,0.0,8.2,20.88,,,2.8,25.2,1012.4,77,1015.6,
2016-09-04,26.0,30.3,23.1,0.5,5.9,16.65,,,2.2,28.3,1013.0,85,1016.1,
2016-09-05,27.1,31.4,22.8,2.5,9.5,19.03,,,2.2,29.3,1010.7,83,1013.8,
2016-09-06,27.8,32.4,24.0,0.0,7.8,18.58,,,3.0,29.4,1005.6,80,1008.7,
2016-09-07,24.8,26.6,22.9,30.0,1.9,7.00,,,2.3,28.5,1002.7,91,1005.8,
2016-09-08,25.5,30.6,22.3,17.0,2.6,11.56,,,2.9,29.3,999.9,90,1003.0,
2016-09-09,26.0,29.9,22.7,0.5,7.3,18.21,,,1.9,26.8,1001.4,81,1004.5,
2016-09-10,24.9,29.3,21.1,,8.4,20.23,,,2.0,24.1,1008.6,78,1011.8,
2016-09-11,23.4,26.1,21.8,0.0,2.2,12.71,,,2.2,23.3,1012.9,81,1016.1,
2016-09-12,23.6,28.0,21.2,0.0,1.7,10.18,,,2.1,24.0,1015.1,83,1018.3,
2016-09-13,22.5,25.3,21.1,49.0,0.2,4.62,,,1.7,25.3,1013.2,93,1016.4,
2016-09-14,22.9,25.6,20.2,0.0,0.2,7.67,,,1.2,24.3,1012.9,87,1016.1,
2016-09-15,23.7,26.8,22.0,5.5,0.7,10.05,,,1.6,25.0,1012.4,86,1015.5,
2016-09-16,22.4,25.1,20.0,0.0,0.0,5.46,,,1.7,23.5,1013.5,87,1016.7,
